material,CarbopackF
material_batch,Test
temperature,87.000
adsorbate,Ar
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
0.000128, 0.02850036
0.000249, 0.0571872
0.000354, 0.0851592
0.00045, 0.1131312
0.000538, 0.1417248
0.00062, 0.1703184
0.000695, 0.1992228
0.000765, 0.228438
0.00083, 0.2576532
0.000891, 0.2871792
0.000949, 0.317016
0.001, 0.344988
0.00106, 0.376068
0.00111, 0.407148
0.00116, 0.43512
0.0012, 0.4662
0.00125, 0.49728
0.0013, 0.525252
0.00134, 0.556332
0.00139, 0.584304
0.00143, 0.615384
0.00148, 0.646464
0.00152, 0.674436
0.00157, 0.705516
0.00162, 0.736596
0.00167, 0.764568
0.00172, 0.795648
0.00177, 0.82362
0.00183, 0.8547
0.00189, 0.882672
0.00196, 0.913752
0.00203, 0.941724
0.0021, 0.969696
0.00218, 1.000776
0.00227, 1.028748
0.00236, 1.05672
0.00247, 1.084692
0.00258, 1.112664
0.00271, 1.137528
0.00286, 1.1655
0.00302, 1.190364
0.00319, 1.215228
0.00339, 1.240092
0.00362, 1.261848
0.00386, 1.286712
0.00413, 1.30536
0.00444, 1.327116
0.00481, 1.348872
0.00523, 1.370628
0.00569, 1.389276
0.0062, 1.404816
0.00675, 1.423464
0.00755, 1.44522
0.00813, 1.457652
0.00875, 1.470084
0.0094, 1.482516
0.01, 1.49184
0.0113, 1.510488
0.0125, 1.526028
0.015, 1.547784
0.0175, 1.56954
0.0202, 1.588188
0.025, 1.609944
0.0301, 1.6317
0.0351, 1.650348
0.0401, 1.665888
0.0452, 1.681428
0.0501, 1.69386
0.0573, 1.712508
0.0695, 1.74048
0.0793, 1.762236
0.089, 1.780884
0.0987, 1.80264
0.117, 1.836828
0.137, 1.871016
0.156, 1.914528
0.176, 1.967364
0.195, 2.017092
0.215, 2.085468
0.235, 2.156952
0.256, 2.234652
0.276, 2.318568
0.297, 2.418024
0.317, 2.539236
0.337, 2.675988
0.36, 2.840712
0.381, 2.980572
0.4, 3.108
0.42, 3.23232
0.44, 3.32556
0.46, 3.4188
0.48, 3.51204
0.5, 3.5742
0.52, 3.66744
0.54, 3.76068
0.56, 3.82284
0.58, 3.91608
0.6, 4.0404
0.62, 4.16472
0.64, 4.28904
0.66, 4.47552
0.68, 4.662
0.7, 4.87956
0.72, 5.1282
0.74, 5.34576
0.76, 5.53224
0.78, 5.71872
0.8, 5.93628
0.819, 6.15384
0.84, 6.43356
0.86, 6.74436
0.879, 7.1484
0.899, 7.6146
0.919, 8.17404
0.94, 9.0132
0.954, 10.16316
0.964, 11.28204
0.975, 13.11576
0.984, 15.81972
0.988, 18.3372
