material,Cabot_BP280
material_batch,Test
temperature,77.000
adsorbate,Ar
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
0.00000966, 0.102351
0.000011, 0.205015
0.0000178, 0.30674
0.0000275, 0.41003
0.0000394, 0.511755
0.0000534, 0.615045
0.0000691, 0.71677
0.0000866, 0.82006
0.000106, 0.921785
0.000127, 1.02351
0.000149, 1.1268
0.000173, 1.228525
0.000198, 1.331815
0.000225, 1.43354
0.000253, 1.535265
0.000283, 1.64325
0.000313, 1.73715
0.000345, 1.8467
0.000379, 1.9406
0.000414, 2.05015
0.00045, 2.14405
0.000488, 2.2536
0.000527, 2.3475
0.000566, 2.45705
0.000658, 2.6605
0.00075, 2.86395
0.000851, 3.0674
0.00096, 3.27085
0.00108, 3.4743
0.00121, 3.67775
0.00135, 3.8812
0.0015, 4.08465
0.00167, 4.2881
0.00186, 4.49155
0.00207, 4.695
0.0023, 4.89845
0.00256, 5.1019
0.00285, 5.30535
0.00318, 5.5088
0.00355, 5.71225
0.00397, 5.9157
0.00446, 6.11915
0.00501, 6.30695
0.00565, 6.5104
0.00638, 6.71385
0.00722, 6.90165
0.00821, 7.1051
0.00934, 7.2929
0.0106, 7.4807
0.0109, 7.52765
0.0121, 7.6685
0.0148, 7.9502
0.0168, 8.12235
0.019, 8.2945
0.0243, 8.6075
0.0301, 8.8892
0.0338, 9.0457
0.039, 9.2335
0.0446, 9.40565
0.05, 9.56215
0.0604, 9.81255
0.0701, 10.03165
0.0802, 10.21945
0.0902, 10.40725
0.1, 10.5794
0.119, 10.87675
0.141, 11.2054
0.162, 11.5184
0.182, 11.81575
0.202, 12.1131
0.222, 12.4261
0.243, 12.7391
0.263, 13.06775
0.283, 13.41205
0.303, 13.75635
0.323, 14.13195
0.343, 14.50755
0.361, 14.85185
0.38, 15.2431
0.4, 15.65
0.42, 16.1195
0.44, 16.4325
0.46, 16.902
0.48, 17.3715
0.5, 17.6845
0.52, 18.154
0.54, 18.467
0.56, 18.9365
0.58, 19.406
0.6, 19.8755
0.62, 20.1885
0.64, 20.658
0.66, 21.1275
0.68, 21.597
0.7, 22.0665
0.72, 22.536
0.739, 23.162
0.76, 23.788
0.78, 24.2575
0.801, 25.04
0.82, 25.666
0.841, 26.4485
0.861, 27.231
0.882, 28.17
0.901, 29.109
0.921, 30.361
0.94, 31.4565
0.958, 32.865
0.972, 33.9605
0.981, 34.743
0.995, 35.5255
