material,G25
material_batch,Test
temperature,77.000
adsorbate,Ar
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
2.98E-04, 0.5361
8.94E-04, 1.1452
1.79E-03, 1.7237
4.63E-03, 2.2388
1.53E-02, 2.6341
2.49E-02, 2.7932
3.64E-02, 2.9302
4.78E-02, 3.0468
6.68E-02, 3.1992
8.44E-02, 3.3134
0.1291, 3.5658
0.1711, 3.7902
0.2079, 3.9899
0.246, 4.2141
0.2776, 4.4141
0.3064, 4.629
0.3452, 5.0009
0.3699, 5.3021
0.4076, 5.6789
0.4532, 6.041
0.5023, 6.414
0.554, 6.8251
0.599, 7.2312
0.6551, 7.9057
0.7053, 8.5676
0.7529, 9.256
0.7963, 10.032
0.8253, 10.736
0.8487, 11.531
0.9088, 14.603
0.9412, 18.041
0.9582, 20.98
