material,Norit
material_batch,Test
temperature,298
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,mass
loading_unit,g
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
1.756587202,0.000174
4.140526976,0.000349
6.649937265,0.000552
12.67252196,0.000901
18.69510665,0.001250
25.09410289,0.001570
38.64491844,0.002180
51.06649937,0.002616
60.94102886,0.003081
75.90966123,0.003430

