H2,Amount adsorbed [g/100g],,,77.347K,
atm,Carbosieve,atm,Norit,atm,Maxsorb
0.1,1.191688511,0.1,0.826704541,0.1,0.604093532
0.119,1.257521008,0.119,0.874436274,0.119,0.664636808
0.141,1.312903429,0.141,0.928995099,0.141,0.729393939
0.162,1.363761141,0.162,0.972860675,0.162,0.781078432
0.182,1.408065954,0.182,1.007602783,0.182,0.824636808
0.202,1.44349376,0.202,1.042133288,0.202,0.870634756
0.222,1.478921568,0.222,1.075046863,0.222,0.916014354
0.243,1.511403445,0.243,1.109606118,0.243,0.956767715
0.263,1.538881758,0.263,1.13660762,0.263,0.992695187
0.283,1.568318718,0.283,1.161407085,0.283,1.028260918
0.303,1.596254957,0.303,1.185452318,0.303,1.0665532
0.323,1.614594122,0.323,1.206709002,0.323,1.096852176
0.343,1.632933288,0.343,1.227965686,0.343,1.126965826
0.361,1.652091708,0.361,1.245322293,0.361,1.153691019
0.38,1.674374578,0.38,1.262693348,0.38,1.181484691
0.4,1.696078431,0.4,1.280774943,0.4,1.210561617
0.42,1.710249554,0.42,1.297473,0.42,1.235750965
0.44,1.724420677,0.44,1.314144909,0.44,1.260550509
0.46,1.740614703,0.46,1.330497994,0.46,1.286498924
0.48,1.757791822,0.48,1.346440508,0.48,1.313926825
0.5,1.774507314,0.5,1.362274419,0.5,1.341242252
0.52,1.786993093,0.52,1.374081997,0.52,1.366954172
0.54,1.799392825,0.54,1.385418896,0.54,1.392553621
0.56,1.810795455,0.56,1.398351159,0.56,1.411947998
0.58,1.821423797,0.58,1.412522282,0.58,1.426523913
0.6,1.832082032,0.6,1.426231878,0.6,1.441099827
0.62,1.843039503,0.62,1.434754115,0.62,1.464619453
0.64,1.854010695,0.64,1.44309007,0.64,1.49021901
0.66,1.864391318,0.66,1.452412167,0.66,1.512972866
0.68,1.874394464,0.68,1.463383358,0.68,1.530967943
0.7,1.884450426,0.7,1.474402941,0.7,1.548963019
0.72,1.897021448,0.72,1.486664438,0.72,1.566958097
0.739,1.909181185,0.739,1.498444184,0.739,1.58405342
0.76,1.92170663,0.76,1.5085504,0.76,1.603070554
0.78,1.932677822,0.78,1.514035995,0.78,1.621355874
0.801,1.94350463,0.801,1.520306786,0.801,1.640348005
0.82,1.948607398,0.82,1.531812612,0.82,1.653877006
0.841,1.954187277,0.841,1.544832331,0.841,1.668756685
0.861,1.960841355,0.861,1.555543097,0.861,1.685061239
0.882,1.968777184,0.882,1.56514289,0.882,1.704260824
0.901,1.977112857,0.901,1.573626927,0.901,1.721152518
0.921,1.989512589,0.921,1.580295689,0.921,1.733552249
0.94,2.001292335,0.94,1.586631013,0.94,1.745331995
0.958,2.006507512,0.958,1.593351154,0.958,1.754962292
0.972,2.007924625,0.972,1.599964346,0.972,1.761066776
0.981,2.008835625,0.981,1.604215684,0.981,1.764991087
0.995,2.010252738,0.995,1.610828877,0.995,1.771095571
