material,OGA
material_batch,Test
temperature,77.000
adsorbate,N2
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
3.18E-04, 0.5751
8.44E-03, 1.1729
1.89E-02, 1.2575
3.45E-02, 1.297
4.48E-02, 1.3195
6.10E-02, 1.3534
7.62E-02, 1.3771
9.10E-02, 1.4089
1.15E-01, 1.4527
1.40E-01, 1.5008
0.1552, 1.5302
0.1703, 1.564
0.1898, 1.6327
0.2098, 1.6927
0.2296, 1.7706
0.2589, 1.8838
0.2887, 2.0254
0.3091, 2.1184
0.3386, 2.2538
0.3593, 2.3391
0.3917, 2.4621
0.4123, 2.5325
0.4373, 2.6132
0.4621, 2.7014
0.4873, 2.7813
0.5121, 2.8635
0.5415, 2.9631
0.562, 3.0482
0.5867, 3.1431
0.6115, 3.2592
0.6413, 3.4144
0.6668, 3.5601
0.6913, 3.7152
0.7161, 3.8901
0.7408, 4.0774
0.7654, 4.2899
0.7899, 4.5215
0.8143, 4.7913
0.8423, 5.1818
0.8627, 5.5536
0.9009, 6.5602
0.9468, 9.2519
0.9537, 10.121
