material,Carbosieve
material_batch,Test
temperature,298
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,mass
loading_unit,g
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
1.761006289,0.000294
3.522012579,0.000588
6.289308176,0.000882
12.70440252,0.001382
20.12578616,0.001912
26.16352201,0.002412
38.74213836,0.003118
51.19496855,0.003706
63.64779874,0.004265
76.10062893,0.004676
88.55345912,0.005147
