material,Norit
material_batch,Test
temperature,77.347
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,mass
loading_unit,g
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
9.66E-06,3.85016E-06
1.10E-05,4.36827E-06
1.78E-05,6.99751E-06
2.75E-05,1.0748E-05
3.94E-05,1.53492E-05
5.34E-05,2.07624E-05
6.91E-05,2.68328E-05
8.66E-05,3.35992E-05
0.000106,4.11003E-05
0.000127,4.922E-05
0.000149,5.77263E-05
0.000173,0.000067006
0.000198,7.66723E-05
0.000225,8.71119E-05
0.000253,9.79382E-05
0.000283,0.000109538
0.000313,0.000121137
0.000345,0.00013351
0.000379,0.000146656
0.000414,0.000160189
0.00045,0.000174109
0.000488,0.000188802
0.000527,0.000203881
0.000566,0.00021896
0.000658,0.000254533
0.00075,0.000290105
0.000851,0.000329156
0.00096,0.000371302
0.00108,0.0004177
0.00121,0.000467965
0.00135,0.000522096
0.0015,0.000580094
0.00167,0.000645825
0.00186,0.000719289
0.00207,0.000800486
0.0023,0.000889416
0.00256,0.000989946
0.00285,0.001102075
0.00318,0.00122967
0.00355,0.001372732
0.00397,0.001535126
0.00446,0.001724586
0.00501,0.001937245
0.00565,0.002136677
0.00638,0.002362387
0.00722,0.002622108
0.00821,0.002928208
0.00934,0.003277595
0.0106,0.003574669
0.0109,0.003611921
0.0121,0.003760931
0.0148,0.004096202
0.0168,0.004296884
0.019,0.00450838
0.0243,0.004971492
0.0301,0.005335247
0.0338,0.005558312
0.039,0.005871505
0.0446,0.006207825
0.05,0.006531926
0.0604,0.006899176
0.0701,0.007234235
0.0802,0.007583111
0.0902,0.007928532
0.1,0.008267045
0.119,0.008744363
0.141,0.009289951
0.162,0.009728607
0.182,0.010076028
0.202,0.010421333
0.222,0.010750469
0.243,0.011096061
0.263,0.011366076
0.283,0.011614071
0.303,0.011854523
0.323,0.01206709
0.343,0.012279657
0.361,0.012453223
0.38,0.012626933
0.4,0.012807749
0.42,0.01297473
0.44,0.013141449
0.46,0.01330498
0.48,0.013464405
0.5,0.013622744
0.52,0.01374082
0.54,0.013854189
0.56,0.013983512
0.58,0.014125223
0.6,0.014262319
0.62,0.014347541
0.64,0.014430901
0.66,0.014524122
0.68,0.014633834
0.7,0.014744029
0.72,0.014866644
0.739,0.014984442
0.76,0.015085504
0.78,0.01514036
0.801,0.015203068
0.82,0.015318126
0.841,0.015448323
0.861,0.015555431
0.882,0.015651429
0.901,0.015736269
0.921,0.015802957
0.94,0.01586631
0.958,0.015933512
0.972,0.015999643
0.981,0.016042157
0.995,0.016108289
