coordination on paint,,,,,,,,,,After convert,,,,,,
H2,"Amount adsorbed, cm3(STP)/g",,,,,,,,,H2,"Amount adsorbed, cm3(STP)/g",,,,,
log,pixel,,,,,,,,,,log,,,,,
Maxsorb,,Carbosieve,,Norit,,,,,,,Maxsorb,,Carbosieve,,Norit,
relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,,,y min,y max,,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g
964,263,,,,,,,,,,0.198800085,637.2745491,,,,
975,240,,,,,,,,,,0.239224874,683.3667335,,,,
986,221,,,,,,,,,,0.287869798,721.4428858,,,,
997,210,,,,,,,,,,0.346406371,743.4869739,,,,
1005,204,,,,,,,,,,0.396324716,755.511022,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
normal,pixel,,,,,,,,,,,,,,,
Maxsorb,,Carbosieve,,Norit,,,,,,,Maxsorb,,Carbosieve,,Norit,
relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,,,,,,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g
248,426,252,433,244,483,,,,,,0.010962241,310.6212425,0.015834348,296.5931864,0.006090134,196.3927856
254,410,258,431,248,474,,,,,,0.018270402,342.6853707,0.023142509,300.6012024,0.010962241,214.4288577
261,396,300,423,265,460,,,,,,0.02679659,370.741483,0.074299635,316.6332665,0.031668697,242.4849699
274,378,341,421,282,452,,,,,,0.042630938,406.8136273,0.124238733,320.6412826,0.052375152,258.5170341
292,359,383,419,292,450,,,,,,0.06455542,444.8897796,0.175395859,324.6492986,0.06455542,262.5250501
305,347,423,418,306,446,,,,,,0.080389769,468.9378758,0.224116931,326.6533066,0.081607795,270.5410822
320,330,465,417,320,443,,,,,,0.098660171,503.006012,0.275274056,328.6573146,0.098660171,276.5531062
362,295,506,416,362,438,,,,,,0.149817296,573.1462926,0.325213155,330.6613226,0.149817296,286.5731463
404,263,548,415,404,434,,,,,,0.200974421,637.2745491,0.37637028,332.6653307,0.200974421,294.5891784
