material,Carbosieve
material_batch,Test
temperature,77.347
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,mass
loading_unit,g
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
9.66E-06,7.30012E-06
1.10E-05,8.26272E-06
1.78E-05,1.31475E-05
2.75E-05,2.01156E-05
3.94E-05,2.8664E-05
5.34E-05,3.8721E-05
6.91E-05,4.99992E-05
8.66E-05,6.25705E-05
0.000106,7.65066E-05
0.000127,9.1592E-05
0.000149,0.000107396
0.000173,0.000124636
0.000198,0.000142595
0.000225,0.000161991
0.000253,0.000182105
0.000283,0.000203656
0.000313,0.000225206
0.000345,0.000248194
0.000379,0.000272618
0.000414,0.00029776
0.00045,0.000323621
0.000488,0.000350919
0.000527,0.000378935
0.000566,0.00040695
0.000658,0.000473039
0.00075,0.000539128
0.000851,0.000611682
0.00096,0.000689983
0.00108,0.000776186
0.00121,0.000869572
0.00135,0.000970142
0.0015,0.001077895
0.00167,0.001200016
0.00186,0.001336503
0.00207,0.001487358
0.0023,0.00165258
0.00256,0.001839353
0.00285,0.002047676
0.00318,0.002284734
0.00355,0.002550525
0.00397,0.002852235
0.00446,0.003204229
0.00501,0.003592036
0.00565,0.003846009
0.00638,0.004135696
0.00722,0.004469035
0.00821,0.004861898
0.00934,0.005310318
0.0106,0.005662322
0.0109,0.005711449
0.0121,0.005907955
0.0148,0.006350095
0.0168,0.006677606
0.019,0.007037868
0.0243,0.007701398
0.0301,0.00820451
0.0338,0.008512553
0.039,0.008945477
0.0446,0.009411704
0.05,0.00975935
0.0604,0.010250619
0.0701,0.010708822
0.0802,0.011146832
0.0902,0.011536537
0.1,0.011916885
0.119,0.01257521
0.141,0.013129034
0.162,0.013637611
0.182,0.01408066
0.202,0.014434938
0.222,0.014789216
0.243,0.015114034
0.263,0.015388818
0.283,0.015683187
0.303,0.01596255
0.323,0.016145941
0.343,0.016329333
0.361,0.016520917
0.38,0.016743746
0.4,0.016960784
0.42,0.017102496
0.44,0.017244207
0.46,0.017406147
0.48,0.017577918
0.5,0.017745073
0.52,0.017869931
0.54,0.017993928
0.56,0.018107955
0.58,0.018214238
0.6,0.01832082
0.62,0.018430395
0.64,0.018540107
0.66,0.018643913
0.68,0.018743945
0.7,0.018844504
0.72,0.018970214
0.739,0.019091812
0.76,0.019217066
0.78,0.019326778
0.801,0.019435046
0.82,0.019486074
0.841,0.019541873
0.861,0.019608414
0.882,0.019687772
0.901,0.019771129
0.921,0.019895126
0.94,0.020012923
0.958,0.020065075
0.972,0.020079246
0.981,0.020088356
0.995,0.020102527
