# nongraphitized carbon black (BP 280), Ar, 77 K
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 15.65 [cm3(STP)/g], S(BET) = 36.6 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 36.6/15.65 = slope[cm3(STP)/g] * 2.338658
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# P/P0, alpha-s
9.66E-06, 6.54E-03
1.10E-05, 0.0131
1.78E-05, 0.0196
2.75E-05, 0.0262
3.94E-05, 0.0327
5.34E-05, 0.0393
6.91E-05, 0.0458
8.66E-05, 0.0524
1.06E-04, 0.0589
1.27E-04, 0.0654
1.49E-04, 0.0720
1.73E-04, 0.0785
1.98E-04, 0.0851
2.25E-04, 0.0916
2.53E-04, 0.0981
2.83E-04, 0.105
3.13E-04, 0.111
3.45E-04, 0.118
3.79E-04, 0.124
4.14E-04, 0.131
4.50E-04, 0.137
4.88E-04, 0.144
5.27E-04, 0.150
5.66E-04, 0.157
6.58E-04, 0.170
7.50E-04, 0.183
8.51E-04, 0.196
9.60E-04, 0.209
1.08E-03, 0.222
1.21E-03, 0.235
1.35E-03, 0.248
1.50E-03, 0.261
1.67E-03, 0.274
1.86E-03, 0.287
2.07E-03, 0.300
2.30E-03, 0.313
2.56E-03, 0.326
2.85E-03, 0.339
3.18E-03, 0.352
3.55E-03, 0.365
3.97E-03, 0.378
4.46E-03, 0.391
5.01E-03, 0.403
5.65E-03, 0.416
6.38E-03, 0.429
7.22E-03, 0.441
8.21E-03, 0.454
9.34E-03, 0.466
0.0106, 0.478
0.0109, 0.481
0.0121, 0.490
0.0148, 0.508
0.0168, 0.519
0.0190, 0.530
0.0243, 0.550
0.0301, 0.568
0.0338, 0.578
0.0390, 0.590
0.0446, 0.601
0.0500, 0.611
0.0604, 0.627
0.0701, 0.641
0.0802, 0.653
0.0902, 0.665
0.100, 0.676
0.119, 0.695
0.141, 0.716
0.162, 0.736
0.182, 0.755
0.202, 0.774
0.222, 0.794
0.243, 0.814
0.263, 0.835
0.283, 0.857
0.303, 0.879
0.323, 0.903
0.343, 0.927
0.361, 0.949
0.380, 0.974
0.400, 1.00
0.420, 1.03
0.440, 1.05
0.460, 1.08
0.480, 1.11
0.500, 1.13
0.520, 1.16
0.540, 1.18
0.560, 1.21
0.580, 1.24
0.600, 1.27
0.620, 1.29
0.640, 1.32
0.660, 1.35
0.680, 1.38
0.700, 1.41
0.720, 1.44
0.739, 1.48
0.760, 1.52
0.780, 1.55
0.801, 1.60
0.820, 1.64
0.841, 1.69
0.861, 1.74
0.882, 1.80
0.901, 1.86
0.921, 1.94
0.940, 2.01
0.958, 2.10
0.972, 2.17
0.981, 2.22
0.995, 2.27
