# Graphitized carbon black (GCB-I), N2, 87.3 K, data
# K. Nakai et al., DOI:10.1016/j.jcis.2011.10.061
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 21.1 [cm3(STP)/g], V(theta=1)=12.2 [cm3(STP)/g], S(BET) = 54.2 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 54.2/21.1 = slope[cm3(STP)/g] * 2.56872
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), Gamma(N2/nm2)
0.00000040, 0.00111, 0.0193, 0.0116
0.00000060, 0.00144, 0.0251, 0.0151
0.0000010, 0.00205, 0.0356, 0.0214
0.0000015, 0.00264, 0.0459, 0.0276
0.0000020, 0.00319, 0.0553, 0.0333
0.0000025, 0.00365, 0.0633, 0.0381
0.0000030, 0.00410, 0.0712, 0.0428
0.0000035, 0.00454, 0.0788, 0.0474
0.0000040, 0.00493, 0.0857, 0.0516
0.0000050, 0.00562, 0.0977, 0.0588
0.0000060, 0.00629, 0.109, 0.0657
0.0000070, 0.00686, 0.119, 0.0717
0.0000080, 0.00742, 0.129, 0.0776
0.0000090, 0.00795, 0.138, 0.0831
0.000010, 0.00847, 0.147, 0.0886
0.000015, 0.0111, 0.192, 0.116
0.000020, 0.0137, 0.238, 0.143
0.000030, 0.0189, 0.327, 0.197
0.000040, 0.0233, 0.404, 0.243
0.000050, 0.0271, 0.470, 0.283
0.000060, 0.0308, 0.535, 0.322
0.000070, 0.0341, 0.593, 0.357
0.000080, 0.0379, 0.569, 0.397
0.000090, 0.0422, 0.732, 0.441
0.00010, 0.0464, 0.806, 0.485
0.00012, 0.0554, 0.963, 0.580
0.00015, 0.0682, 1.19, 0.714
0.00020, 0.0919, 1.60, 0.961
0.00025, 0.113, 1.97
0.00030, 0.135, 2.34, 1.41
0.00035, 0.156, 2.70, 1.63
0.00040, 0.176, 3.05, 1.84
0.00050, 0.212, 3.68, 2.21
0.00060, 0.244, 4.23, 2.55
0.00070, 0.271, 4.70, 2.83
0.00080, 0.294, 5.11, 3.08
0.0010, 0.333, 5.78, 3.48
0.0015, 0.385, 6.68, 4.02
0.0020, 0.416, 7.23, 4.35
0.0030, 0.449, 7.80, 4.69
0.0040, 0.468, 8.14, 4.90
0.0050, 0.481, 8.36, 5.03
0.0070, 0.500, 8.69, 5.23
0.0080, 0.506, 8.80, 5.30
0.010, 0.516, 8.97, 5.40
0.015, 0.535, 9.29, 5.59
0.020, 0.547, 9.50, 5.72
0.030, 0.564, 9.80, 5.90
0.040, 0.577, 10.0, 6.03
0.050, 0.587, 10.2, 6.12
0.070, 0.605, 10.5, 6.33
0.080, 0.614, 10.7, 6.42
0.10, 0.631, 11.0, 6.60
0.15, 0.674, 11.7, 7.05
0.20, 0.724, 12.6, 7.57
0.25, 0.781, 13.6, 8.17
0.30, 0.848, 14.7, 8.87
0.35, 0.924, 16.1, 9.66
0.40, 1.000, 17.4, 10.5
