# LMA10, Ar, 87.3 K
# Standard data for the adsorption of Ar at 87.3 K on reference carbon LMA10.
# A. Silvestre-Albero et al., Carbon 66 (2014) 699. 
# (i.e., n/nm -where nm is the monolayer capacity from which the BET surface area is determined- against P/P0)
# nm = 7.37e-5 [mol/g], V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 2.68 [cm3(STP)/g]
# S(BET) = 6 [m2/g], C = 101, nm = 7e-5 [mol/g] by pyGASP code
# S [m2/g]= slope [cm3(STP)/g] * 6.00/2.68 = slope [cm3(STP)/g] * 2.238806
# P/P0, alpha-s, n/nm
9.8238E-06, 0.00165929, 0.00269599
2.0399E-05, 0.00712006, 0.01156855
5.0985E-05, 0.00859628, 0.01396708
7.0384E-05, 0.00884297, 0.01436789
8.3197E-05, 0.01350688, 0.02194573
9.6036E-05, 0.02008158, 0.03262818
0.00016047, 0.02387656, 0.03879419
0.00026554, 0.03687081, 0.05990700
0.00034209, 0.04637553, 0.07535009
0.00058726, 0.07750901, 0.12593518
0.00123357, 0.15798301, 0.25668784
0.00160473, 0.18868211, 0.30656716
0.00308055, 0.26731424, 0.43432719
0.00574851, 0.35417388, 0.57545511
0.00831957, 0.40258989, 0.65412052
0.01070805, 0.43049757, 0.69946440
0.01214353, 0.44284506, 0.71952638
0.01370239, 0.45677476, 0.74215909
0.01570822, 0.47133213, 0.76581163
0.01802586, 0.48080493, 0.78120286
0.02064989, 0.49224519, 0.79979079
0.02359458, 0.50155521, 0.81491753
0.02891659, 0.51070567, 0.82978502
0.03122830, 0.51251042, 0.83271735
0.03493375, 0.51740951, 0.84067729
0.03908301, 0.52791617, 0.85774832
0.04290497, 0.53529863, 0.86974321
0.04941448, 0.53931781, 0.87627349
0.05720449, 0.55387531, 0.89992624
0.06438413, 0.55908199, 0.90838596
0.07039935, 0.56963936, 0.92553938
0.07635671, 0.57633344, 0.93641579
0.08245729, 0.58277765, 0.94688624
0.08618729, 0.58616681, 0.95239288
0.09723496, 0.60166984, 0.97758191
0.10213188, 0.60760223, 0.98722074
0.11182984, 0.61840768, 1.00477724
0.12266302, 0.62952702, 1.02284374
0.13452307, 0.64437231, 1.04696408
0.15120782, 0.66257387, 1.07653765
0.16266403, 0.68129328, 1.10695258
0.17332344, 0.69274564, 1.12556016
0.18687477, 0.71535844, 1.16230101
0.19276984, 0.72234253, 1.17364864
0.20616791, 0.73646024, 1.19658683
0.22537268, 0.75983982, 1.23457353
0.23665109, 0.77239097, 1.25496641
0.24916867, 0.78865905, 1.28139847
0.26102109, 0.80839247, 1.31346097
0.27456160, 0.82230965, 1.33607334
0.28643247, 0.83126902, 1.35063036
0.29748604, 0.84834985, 1.37838298
0.30835129, 0.86344045, 1.40290189
0.31706619, 0.88269192, 1.43418134
0.32832121, 0.90067883, 1.46340612
0.33833297, 0.92131980, 1.49694319
0.34821173, 0.92793096, 1.50768487
0.36266393, 0.95113968, 1.54539397
0.37061517, 0.96034463, 1.56034999
0.37755694, 0.97839267, 1.58967411
0.38869415, 0.99172458, 1.61133555
0.39921733, 0.99997436, 1.62473964
0.41173251, 1.01878820, 1.65530802
0.43943355, 1.04866065, 1.70384422
0.48122554, 1.11289982, 1.80821882
0.51310920, 1.17033416, 1.90153707
0.55437490, 1.26271155, 2.05163012
0.57507143, 1.31611545, 2.13839977
0.61567714, 1.40280661, 2.27925395
0.64390616, 1.46718844, 2.38386035
0.66739655, 1.53651334, 2.49649815
0.69219149, 1.61324947, 2.62117759
0.71022704, 1.65720354, 2.69259333
0.73636616, 1.76173560, 2.86243507
0.76148265, 1.86209260, 3.02549325
0.77778212, 1.92495401, 3.12762929
0.83945789, 2.24411955, 3.64620350
0.87334823, 2.49297747, 4.05054318
0.89448289, 2.70842827, 4.40060361
0.91735845, 3.07514184, 4.99643297
0.93146746, 3.41458014, 5.54794598
0.95317438, 4.01491088, 6.52335215
0.95706526, 4.18627404, 6.80177980
0.97466155, 4.87102309, 7.91434727
0.98350435, 5.72501979, 9.30190514
0.99393854, 7.44402132, 12.09490667
0.99493686, 7.89925866, 12.83456780
