# Non-Graphitized carbon black (NGCB), N2, 77.4 K
# K. Nakai et al., DOI:10.1016/j.jcis.2010.08.005
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 6.96 [cm3(STP)/g], V(theta=1)=4.34 [cm3(STP)/g], S(BET) = 18.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 18.9/6.96 = slope[cm3(STP)/g] * 2.715517
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2)
0.00000005, 0.0022, 0.035
0.00000007, 0.0034, 0.057
0.00000010, 0.0050, 0.083
0.00000015, 0.0066, 0.109
0.00000020, 0.0076, 0.125
0.00000025, 0.0085, 0.140
0.0000003, 0.0093, 0.154
0.0000004, 0.0111, 0.182
0.0000005, 0.0126, 0.208
0.0000010, 0.0184, 0.303
0.0000013, 0.0210, 0.345
0.0000020, 0.0256, 0.421
0.0000030, 0.0309, 0.508
0.0000040, 0.0359, 0.591
0.0000050, 0.0402, 0.662
0.0000060, 0.0445, 0.733
0.0000080, 0.0503, 0.828
0.000010, 0.0560, 0.922
0.000013, 0.0618, 1.017
0.000020, 0.0733, 1.206
0.000030, 0.0862, 1.419
0.000040, 0.0977, 1.608
0.000060, 0.115, 1.89
0.000080, 0.129, 2.13
0.00010, 0.144, 2.36
0.00013, 0.161, 2.65
0.00020, 0.190, 3.12
0.00030, 0.223, 3.66
0.00040, 0.250, 4.11
0.00050, 0.270, 4.45
0.00060, 0.283, 4.66
0.00080, 0.309, 5.08
0.0010, 0.330, 5.44
0.0013, 0.352, 5.79
0.0020, 0.382, 6.29
0.0030, 0.409, 6.74
0.0050, 0.441, 7.26
0.0060, 0.453, 7.45
0.0080, 0.471, 7.76
0.010, 0.484, 7.97
0.013, 0.499, 8.20
0.020, 0.522, 8.58
0.030, 0.546, 8.99
0.040, 0.568, 9.34
0.050, 0.582, 9.58
0.060, 0.596, 9.81
0.080, 0.621, 10.21
0.10, 0.644, 10.59
0.12, 0.668, 10.99
0.14, 0.687, 11.30
0.16, 0.711, 11.70
0.18, 0.733, 12.06
0.20, 0.754, 12.41
0.22, 0.780, 12.84
0.24, 0.802, 13.19
0.26, 0.825, 13.57
0.28, 0.848, 13.95
0.30, 0.874, 14.38
0.32, 0.899, 14.80
0.34, 0.922, 15.18
0.36, 0.948, 15.61
0.38, 0.974, 16.03
0.40, 1.00, 16.46
0.42, 1.02, 16.8
0.44, 1.05, 17.3
0.46, 1.07, 17.7
0.48, 1.10, 18.1
0.50, 1.12, 18.5
0.52, 1.15, 18.9
0.54, 1.18, 19.4
0.56, 1.21, 19.9
0.58, 1.24, 20.4
0.60, 1.27, 20.9
0.62, 1.30, 21.4
0.64, 1.34, 22.0
0.66, 1.36, 22.5
0.68, 1.40, 23.1
0.70, 1.45, 23.9
0.72, 1.49, 24.6
0.74, 1.54, 25.3
0.76, 1.59, 26.2
0.78, 1.65, 27.2
0.80, 1.71, 28.1
0.82, 1.78, 29.3
0.84, 1.87, 30.7
0.85, 1.91, 31.4
0.86, 1.97, 32.4
0.87, 2.04, 33.6
0.88, 2.11, 34.8
0.90, 2.27, 37.4
