# graphite (G25), N2, 77 K, data, t
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=V(theta=1) = 2.83 [cm3/g], C-value = 443, S = 12.30 [m2/g]
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 4.858842 [cm3/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 12.30/4.858842 = slope[cm3(STP)/g] * 2.531467
# relative_pressure_X, V[cm3(STP)/g], theta, alpha-s, t[nm]
3.62E-04, 0.988, 0.3491, 0.203340631, 0.1235814
6.03E-04, 1.5154, 0.5355, 0.311885013, 0.189567
5.55E-03, 2.2464, 0.7938, 0.462332383, 0.2810052
1.22E-02, 2.444, 0.8636, 0.503000509, 0.3057144
1.92E-02, 2.5425, 0.8984, 0.523272829, 0.3180336
3.36E-02, 2.6704, 0.9436, 0.549595974, 0.3340344
4.46E-02, 2.7505, 0.9719, 0.566081383, 0.3440526
6.11E-02, 2.8494, 1.0069, 0.586436027, 0.3564426
7.65E-02, 2.9297, 1.0352, 0.602962599, 0.3664608
9.16E-02, 3.0051, 1.0619, 0.6184807, 0.3759126
0.1166, 3.1288, 1.1056, 0.643939441, 0.3913824
0.1416, 3.2518, 1.149, 0.669254114, 0.406746
0.1575, 3.3304, 1.1768, 0.685430808, 0.4165872
0.1724, 3.4102, 1.205, 0.701854475, 0.42657
0.1919, 3.5225, 1.2447, 0.724966978, 0.4406238
0.2117, 3.6377, 1.2854, 0.748676331, 0.4550316
0.2317, 3.7586, 1.3281, 0.773558803, 0.4701474
0.2601, 3.9457, 1.3942, 0.81206592, 0.4935468
0.2899, 4.1469, 1.4653, 0.853474964, 0.5187162
0.3113, 4.297, 1.5184, 0.884367098, 0.5375136
0.3396, 4.4892, 1.5863, 0.923923849, 0.5615502
0.3608, 4.6239, 1.6339, 0.951646503, 0.5784006
0.3937, 4.8238, 1.7045, 0.992787994, 0.603393
0.4154, 4.9445, 1.7472, 1.017629303, 0.6185088
0.4398, 5.0869, 1.7975, 1.046936698, 0.636315
0.465, 5.2277, 1.8472, 1.075914796, 0.6539088
0.4902, 5.3756, 1.8995, 1.106354148, 0.672423
0.5147, 5.5232, 1.9517, 1.136731756, 0.6909018
0.5434, 5.7119, 2.0183, 1.17556817, 0.7144782
0.5645, 5.8553, 2.069, 1.205081375, 0.732426
0.589, 6.0276, 2.1299, 1.2405425, 0.7539846
0.6136, 6.2164, 2.1966, 1.279399495, 0.7775964
0.6441, 6.4859, 2.2918, 1.334865386, 0.8112972
0.6706, 6.73, 2.3781, 1.385103693, 0.8418474
0.6948, 6.9859, 2.4685, 1.437770563, 0.873849
0.7195, 7.2768, 2.5713, 1.497640796, 0.9102402
0.7437, 7.5814, 2.6789, 1.56033063, 0.9483306
0.7674, 7.9316, 2.8027, 1.632405417, 0.9921558
0.7914, 8.3288, 2.943, 1.71415329, 1.041822
0.8142, 8.7784, 3.1019, 1.806685626, 1.0980726
0.8408, 9.4006, 3.3218, 1.934740829, 1.1759172
0.8611, 10.003, 3.5346, 2.058720987, 1.2512484
0.9045, 12.006, 4.2424, 2.47095913, 1.5018096
0.9384, 15.017, 5.3064, 3.090654111, 1.8784656
0.9551, 17.859, 6.3106, 3.675567141, 2.2339524
