# Carbopack F Graphitized Carbon Black, Ar, 77 K 
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.173 [cm3(STP)/g], S(BET) = 5.88 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.88/3.173 = slope[cm3(STP)/g] * 1.853136
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s
5.85E-05, 6.08E-03
1.16E-04, 0.0122
1.70E-04, 0.0184
2.19E-04, 0.0245
2.63E-04, 0.0307
3.04E-04, 0.0368
3.41E-04, 0.0430
3.75E-04, 0.0492
4.23E-04, 0.0590
4.66E-04, 0.0688
5.04E-04, 0.0787
5.39E-04, 0.0885
5.70E-04, 0.0984
5.98E-04, 0.108
6.30E-04, 0.118
6.54E-04, 0.128
6.77E-04, 0.138
6.98E-04, 0.148
7.19E-04, 0.158
7.39E-04, 0.168
7.58E-04, 0.177
7.77E-04, 0.187
7.96E-04, 0.197
8.14E-04, 0.207
8.33E-04, 0.217
8.52E-04, 0.227
8.72E-04, 0.237
8.92E-04, 0.247
9.12E-04, 0.257
9.34E-04, 0.267
9.56E-04, 0.276
9.81E-04, 0.286
1.01E-03, 0.296
1.04E-03, 0.306
1.07E-03, 0.316
1.10E-03, 0.326
1.14E-03, 0.336
1.18E-03, 0.345
1.23E-03, 0.355
1.29E-03, 0.365
1.35E-03, 0.375
1.42E-03, 0.384
1.51E-03, 0.394
1.62E-03, 0.404
1.75E-03, 0.413
1.91E-03, 0.423
2.11E-03, 0.432
2.37E-03, 0.441
2.69E-03, 0.45
3.11E-03, 0.459
3.65E-03, 0.467
4.32E-03, 0.475
5.16E-03, 0.482
6.19E-03, 0.489
7.57E-03, 0.496
9.22E-03, 0.503
0.0111, 0.508
0.0123, 0.511
0.0126, 0.512
0.0151, 0.517
0.0178, 0.522
0.0202, 0.526
0.0215, 0.528
0.0228, 0.530
0.0241, 0.532
0.0247, 0.533
0.0254, 0.534
0.0259, 0.535
0.0276, 0.537
0.0283, 0.538
0.0301, 0.541
0.0309, 0.542
0.0328, 0.546
0.0336, 0.547
0.0354, 0.550
0.0361, 0.551
0.0377, 0.554
0.0384, 0.556
0.0403, 0.559
0.0428, 0.563
0.0454, 0.567
0.0503, 0.572
0.0601, 0.579
0.0708, 0.585
0.0809, 0.589
0.091, 0.594
0.101, 0.598
0.111, 0.602
0.121, 0.605
0.131, 0.609
0.141, 0.613
0.151, 0.617
0.161, 0.621
0.171, 0.625
0.181, 0.629
0.191, 0.634
0.201, 0.639
0.211, 0.644
0.221, 0.649
0.231, 0.655
0.241, 0.661
0.251, 0.667
0.260, 0.674
0.270, 0.682
0.280, 0.690
0.289, 0.700
0.299, 0.711
0.308, 0.724
0.318, 0.738
0.327, 0.755
0.336, 0.776
0.349, 0.812
0.360, 0.852
0.371, 0.895
0.381, 0.936
0.390, 0.970
0.400, 1.00
0.410, 1.03
0.420, 1.05
0.430, 1.07
0.440, 1.09
0.450, 1.10
0.460, 1.12
0.470, 1.13
0.480, 1.14
0.490, 1.15
0.500, 1.17
0.510, 1.18
0.520, 1.19
0.530, 1.20
0.540, 1.21
0.550, 1.22
0.560, 1.24
0.570, 1.25
0.579, 1.26
0.590, 1.28
0.599, 1.30
0.610, 1.32
0.620, 1.34
0.630, 1.36
0.640, 1.39
0.650, 1.42
0.660, 1.44
0.670, 1.47
0.680, 1.50
0.690, 1.53
0.700, 1.55
0.710, 1.58
0.720, 1.60
0.728, 1.62
0.741, 1.64
0.750, 1.67
0.760, 1.69
0.770, 1.71
0.780, 1.73
0.790, 1.75
0.800, 1.77
0.810, 1.79
0.819, 1.82
0.829, 1.85
0.839, 1.88
0.848, 1.92
0.854, 1.96
0.859, 2.02
0.865, 2.11
0.872, 2.18
0.900, 2.34
0.930, 2.52
0.937, 2.59
0.947, 2.72
0.956, 2.93
0.970, 3.21
0.978, 3.39
0.985, 3.67
0.991, 3.94
