# Standard alpha-s Data of N2 Gas for Nonporous Silica
# M. Hakuman et al., Journal of Colloid and Interface Science 241, 127-141 (2001).: doi:10.1006/jcis.2001.7715
# Vtest(alpha-s=1) is the adsorbed amount [cm3(STP)/g] at P/P0 = 0.4 for the test adsorbent.
# From our data (SBET(std) = 6.20 m2/g, and Vstd(alpha-s=1) = 2.15 cm3(STP)/g)
# S(alpha-s) [m2/g] = slope [cm3(STP)/g] * 6.20/2.15 = slope [cm3(STP)/g] * 2.88
# P/P0, alpha-s
0.01, 0.44
0.02, 0.48
0.03, 0.52
0.04, 0.55
0.05, 0.57
0.06, 0.6
0.07, 0.61
0.08, 0.63
0.09, 0.65
0.1, 0.67
0.11, 0.68
0.12, 0.69
0.13, 0.71
0.14, 0.72
0.15, 0.73
0.16, 0.74
0.17, 0.76
0.18, 0.77
0.19, 0.78
0.2, 0.79
0.22, 0.81
0.24, 0.83
0.26, 0.85
0.28, 0.87
0.3, 0.89
0.32, 0.92
0.34, 0.93
0.36, 0.95
0.38, 0.98
0.4, 1
0.42, 1.02
0.44, 1.05
0.46, 1.07
0.48, 1.09
0.5, 1.12
0.52, 1.14
0.54, 1.16
0.56, 1.19
0.58, 1.21
0.6, 1.24
0.62, 1.27
0.64, 1.31
0.66, 1.34
0.68, 1.38
0.7, 1.42
0.72, 1.46
0.74, 1.51
0.76, 1.56
0.78, 1.61
0.8, 1.67
0.81, 1.71
0.82, 1.75
0.83, 1.79
0.84, 1.83
0.85, 1.88
0.86, 1.93
0.87, 2
0.88, 2.07
0.89, 2.15
0.9, 2.24
0.91, 2.33
0.92, 2.44
0.93, 2.57
0.94, 2.78
0.95, 3.17
0.96, 3.58
0.97, 4.27
0.975, 4.83
0.98, 5.58
0.985, 7.07
0.99, 10.04
