# Standard Reduced Nitrogen Adsorption Isotherm Data for LiChrospher Si-1000 Silica
# The adsorbed amounts can be obtained by multiplying the alpha-s data by 9.12 cm3(STP)/g.
# The statistical film thickness curve can be obtained by multiplying the alpha-s data by 0.722 nm.
# SBET for Lichrospher Si-1000 assumed different values in different relative pressure intervals
# (the latter are provided in parentheses): 26.2 [m2/g] (0.06-0.25), 25.1 [m2/g] (0.01-0.1), 21.4 [m2/g] (0.003-0.03), and 18.1 [m2/g] (0.001-0.01).
# t = alpha-s * 0.722 [nm]
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 1 * 9.12 [cm3(STP)/g], S(BET) = 26.2 [m2/g] (P/P0=0.06-0.25)
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 26.2/9.12 = slope[cm3(STP)/g] * 2.872807
# Data in parentheses were obtained using the nitrogen adsorption isotherm for LiChrospher Si-4000 silica.
# P/P0, alpha-s
5.55E-07, 0.012
1.23E-06, 0.023
2.38E-06, 0.034
4.18E-06, 0.046
6.74E-06, 0.057
1.02E-05, 0.068
1.49E-05, 0.080
2.10E-05, 0.091
2.89E-05, 0.102
3.89E-05, 0.114
5.14E-05, 0.125
6.69E-05, 0.136
8.64E-05, 0.147
1.11E-04, 0.159
1.40E-04, 0.170
1.78E-04, 0.181
2.22E-04, 0.192
2.74E-04, 0.203
3.37E-04, 0.214
4.12E-04, 0.225
4.99E-04, 0.235
6.02E-04, 0.246
7.20E-04, 0.256
8.55E-04, 0.266
1.01E-03, 0.275
1.18E-03, 0.284
1.38E-03, 0.294
1.59E-03, 0.302
1.82E-03, 0.311
2.08E-03, 0.319
2.36E-03, 0.327
2.66E-03, 0.335
3.02E-03, 0.344
3.41E-03, 0.352
3.82E-03, 0.36
4.27E-03, 0.367
4.74E-03, 0.374
5.23E-03, 0.382
5.75E-03, 0.388
6.29E-03, 0.395
7.09E-03, 0.404
7.63E-03, 0.41
8.40E-03, 0.418
9.20E-03, 0.425
0.0100, 0.432
0.0113, 0.441
0.0125, 0.450
0.0150, 0.465
0.0175, 0.479
0.0200, 0.490
0.0250, 0.510
0.0300, 0.528
0.0350, 0.544
0.0400, 0.558
0.0500, 0.583
0.0600, 0.605
0.0700, 0.624
0.0800, 0.642
0.0900, 0.658
0.100, 0.673
0.120, 0.701
0.140, 0.726
0.160, 0.751
0.180, 0.774
0.200, 0.795
0.225, 0.822
0.250, 0.848
0.275, 0.873
0.300, 0.898
0.325, 0.924
0.350, 0.949
0.375, 0.974
0.400, 1.000
0.425, 1.026
0.450, 1.053
0.475, 1.081
0.500, 1.109
0.550, 1.170
0.575, 1.201
0.600, 1.233
0.625, 1.268
0.650, 1.305
0.675, 1.344
0.700, 1.385
0.725, 1.430
0.750, 1.478
0.775, 1.531
0.800, 1.590
0.820, 1.642
0.840, 1.700
0.860, 1.765
0.880, 1.839
0.900, 1.925
0.910, 1.974
0.920, 2.030
0.930, 2.089
0.940, 2.163
0.950, 2.246
0.960, 2.330
0.970, 2.515
0.980, 2.80
0.988, 3.16
, 
