# Standard N2 at -196 (deg) reduced adsorption isotherm for a-Al2O3-R material
# M. Jaroniec et al., Adsorption (2013) 19:475-481.: DOI 10.1007/s10450-012-9469-0
# Standard reduced adsorption obtained using the amount adsorbed, 1.2815 cm3(STP)/g at p/p0 of 0.4006;
# the specific surface area of a-Al2O3-R = 3.56 m2/g and the monolayer capacity = 0.8172 cm3(STP)/g 
# obtained by the BET equation in the relative pressure range of 0.05-0.20
# V(alpha-s=1) = V(P/P0=0.4) = V04 = 1.2815 [cm3(STP)/g], S(BET) = 3.56 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 3.56/1.2815 = slope[cm3(STP)/g] * 2.777995
# P/P0, alpha-s
1.80E-06, 0.0108
4.12E-06, 0.0211
7.33E-06, 0.0307
1.14E-05, 0.0394
1.60E-05, 0.0474
2.35E-05, 0.0582
3.28E-05, 0.0688
4.42E-05, 0.0793
5.79E-05, 0.0897
7.41E-05, 0.0997
9.31E-05, 0.1096
1.15E-04, 0.1192
1.40E-04, 0.1286
1.69E-04, 0.1377
2.00E-04, 0.1466
2.35E-04, 0.1552
2.73E-04, 0.1635
3.15E-04, 0.1714
3.60E-04, 0.1792
4.40E-04, 0.1913
5.29E-04, 0.2024
6.23E-04, 0.2126
7.21E-04, 0.2218
8.17E-04, 0.2297
9.24E-04, 0.2376
1.04E-03, 0.2449
1.13E-03, 0.2506
1.24E-03, 0.2563
1.40E-03, 0.2645
1.57E-03, 0.272
1.73E-03, 0.2783
1.89E-03, 0.2841
2.20E-03, 0.294
2.52E-03, 0.303
3.30E-03, 0.3213
4.13E-03, 0.3366
4.99E-03, 0.3497
5.86E-03, 0.3609
6.74E-03, 0.3709
9.32E-03, 0.3949
0.0115, 0.4097
0.0154, 0.4311
0.019, 0.448
0.0207, 0.4549
0.0232, 0.4648
0.0242, 0.4691
0.0262, 0.4767
0.0278, 0.4812
0.0307, 0.4906
0.0397, 0.513
0.0498, 0.5365
0.0607, 0.5581
0.0808, 0.5932
0.1001, 0.6206
0.1211, 0.65
0.1399, 0.6765
0.16, 0.7048
0.1807, 0.7316
0.2007, 0.7566
0.2199, 0.7907
0.2405, 0.8144
0.2598, 0.8369
0.28, 0.8599
0.3002, 0.8811
0.32, 0.9044
0.3409, 0.9281
0.3596, 0.9509
0.38, 0.976
0.4006, 1
0.4199, 1.0241
0.4405, 1.0477
0.4605, 1.0709
0.4797, 1.0896
0.4998, 1.1157
0.5203, 1.1421
0.5396, 1.1668
0.5601, 1.1937
0.5801, 1.221
0.6007, 1.2499
0.6207, 1.2827
0.6409, 1.3111
0.6598, 1.3387
0.6799, 1.3756
0.7007, 1.4155
0.72, 1.4528
0.7398, 1.4943
0.7606, 1.5359
0.7805, 1.5848
0.8011, 1.629
0.8199, 1.6865
0.8397, 1.7715
0.8603, 1.861
0.8805, 1.9648
0.9003, 2.0866
0.9111, 2.1692
0.9208, 2.2528
0.9303, 2.3508
0.9401, 2.4741
0.9498, 2.6243
0.9553, 2.7333
0.9605, 2.8567
0.9657, 3.0054
0.9706, 3.1799
0.9757, 3.4131
0.9801, 3.701
0.9848, 4.1285
0.9894, 4.8213
0.9936, 6.0318
