# carbon black, N2, 77K
# K. Kaneko, TANSO 186 (1999) 50.
# S(alpha-s) [m2/g] = slope [mg/g] * 2.14 = slope [cm3(STP)/g] * (28.0134/22.4) * 2.14
# P/P0, alpha-s
0.000, 0.0000
1.3125e-6, 0.015439
3.9474e-6, 0.024490
6.5789e-6, 0.052706
1.1842e-5, 0.063886
1.8421e-5, 0.066015
2.3684e-5, 0.076130
2.7632e-5, 0.097958
3.9474e-5, 0.12458
5.3947e-5, 0.15333
7.1053e-5, 0.16184
9.0789e-5, 0.17249
0.000109, 0.17808
0.000129, 0.18580
0.000147, 0.19432
0.000272, 0.22679
0.000397, 0.24836
0.00053,  0.26246
0.000663, 0.28083
0.000796, 0.29334
0.000882, 0.31224
0.001022, 0.32289
0.0011605, 0.32928
0.0013224, 0.34019
0.0014566, 0.34738
0.0015789, 0.36415
0.0017303, 0.36628
0.0018671, 0.37293
0.0019908, 0.38145
0.0021303, 0.38491
0.0022447, 0.39929
0.0026697, 0.40461
0.0032105, 0.41552
0.0038553, 0.42564
0.0046039, 0.43842
0.0052684, 0.44614
0.0071526, 0.47808
0.0077776, 0.48686
0.0084724, 0.49112
0.0090855, 0.49591
0.0097816, 0.50603
0.010430, 0.50949
0.011214, 0.51348
0.011925, 0.51934
0.012595, 0.52120
0.014690, 0.53318
0.015640, 0.53504
0.016610, 0.53930
0.017970, 0.54436
0.019400, 0.55022
0.025580, 0.56193
0.039030, 0.58668
0.051530, 0.60053
0.064520, 0.62209
0.077410, 0.63699
0.10442, 0.67506
0.11729, 0.68863
0.13038, 0.69715
0.14344, 0.70700
0.17611, 0.73655
0.20851, 0.76583
0.24128, 0.79884
0.27417, 0.83983
0.30760, 0.88003
0.34003, 0.92075
0.37190, 0.95962
0.40487, 1.0070
0.43723, 1.049
0.46979, 1.091
0.50168, 1.129
0.53264, 1.164
0.56396, 1.2040
0.59577, 1.249
0.62784, 1.293
0.66037, 1.335
0.69028, 1.381
0.72379, 1.433
0.75556, 1.4880
0.78760, 1.5460
0.81962, 1.597
0.85141, 1.662
0.88309, 1.744
0.91277, 1.864
0.94835, 2.048
0.98216, 2.292
0.99423, 2.4330
