# Absolute Values of Adsorption of Nitrogen on the Basal Face of Graphite at -195 (deg)
# The surface is defined according to BET at Omega_m = 16.2 A2 (see column 3 of Table I)
# A. A. Isirikyan et al., 65 (1961) 601.
# P/P0, alpha-s (micro mole/m2)
0.00003, 0.5
0.00005, 0.9
0.00008, 1.45
0.0001, 1.9
0.00013, 2.55
0.00017, 3.5
0.0002, 4.13
0.00023, 4.72
0.00027, 5.35
0.00031, 5.8
0.00037, 6.33
0.00043, 6.7
0.00051, 7.08
0.0006, 7.37
0.00075, 7.75
0.00095, 8.07
0.0013, 8.42
0.0024, 8.93
0.0037, 9.18
0.0055, 9.45
0.0075, 9.7
0.0095, 10
0.014, 10.35
0.025, 10.59
0.04, 10.72
0.06, 10.91
0.08, 11.05
0.1, 11.27
0.13, 11.6
0.16, 11.95
0.19, 12.46
0.22, 13.15
0.26, 14.36
0.3, 16
0.35, 17.6
0.4, 19
0.45, 20.2
0.5, 21.2
0.55, 22.2
0.6, 23.3
0.65, 24.7
0.7, 26.7
0.75, 29.2
0.8, 31.6
0.85, 34.5
0.9, 40
0.94, 47.5
0.96, 58
0.97, 66
0.98, 78
