# Standard Isotherm Data for Nitrogen Adsorption at 77 K on Al-, Si-, Zr- and Fe-PILC1273K Materials
# Jhonny Villarroel-Rocha et al./Adsorption Science & Technology Vol. 31 No. 2/3 2013
# Al-PILC1273K: SBET = 2.42 [m2/g], V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 0.72 [cm3(STP)/g]
#   S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 2.42/0.72 = slope[cm3(STP)/g] * 3.361111
#   [pyGAPS] BET surface area: a = 2 m2/g, The BET constant is: C = 6, Amount for a monolayer: n = 2e-05 mol/g
#      Amount for a monolayer: n = 2e-05 / (1/1000/22.414) = 2e-05 / 4.461e-5 = 0.44832997 [cm3(STP)/g]
# Si-PILC1273K: SBET = 2.19 [m2/g], V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 0.65 [cm3(STP)/g]
#   S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 2.19/0.65 = slope[cm3(STP)/g] * 3.369231
#   [pyGAPS] BET surface area: a = 2 m2/g, The BET constant is: C = 5, Amount for a monolayer: n = 2e-05 mol/g
#      Amount for a monolayer: n = 2e-05 / (1/1000/22.414) = 2e-05 / 4.461e-5 = 0.44832997 [cm3(STP)/g]
# Zr-PILC1273K: SBET = 4.29 [m2/g], V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 1.48 [cm3(STP)/g]
#   S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 4.29/1.48 = slope[cm3(STP)/g] * 2.898649
#   [pyGAPS] BET surface area: a = 4 m2/g, The BET constant is: C = 29, Amount for a monolayer: n = 4e-05 mol/g
#      Amount for a monolayer: n = 4e-05 / (1/1000/22.414) = 4e-05 / 4.461e-5 = 0.89665997 [cm3(STP)/g]
# Fe-PILC1273K: SBET = 5.69 [m2/g], V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 2.04 [cm3(STP)/g]
#   S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.69/2.04 = slope[cm3(STP)/g] * 2.789216
#   [pyGAPS] BET surface area: a = 6 m2/g, The BET constant is: C = 40, Amount for a monolayer: n = 6e-05 mol/g
#      Amount for a monolayer: n = 6e-05 / (1/1000/22.414) = 6e-05 / 4.461e-5 = 1.34498991 [cm3(STP)/g]
# pillared clays (PILCs)
# The reference materials were labelled according to their corresponding oligocation as Si-PILC1273K, Al-PILC1273K,Fe-PILC1273K and Zr-PILC1273K.
# P/P0, alpha-s(Al-PILC1273K), alpha-s(Si-PILC1273K), alpha-s(Zr-PILC1273K), alpha-s(Fe-PILC1273K)
0.3, 0.775, 0.789, 0.852, 0.852
0.325, 0.83, 0.843, 0.887, 0.888
0.35, 0.886, 0.894, 0.926, 0.923
0.375, 0.942, 0.947, 0.962, 0.961
0.4, 1, 1, 1, 1
0.425, 1.059, 1.055, 1.038, 1.041
0.45, 1.12, 1.111, 1.079, 1.084
0.475, 1.183, 1.169, 1.122, 1.127
0.5, 1.245, 1.224, 1.162, 1.171
0.525, 1.306, 1.276, 1.207, 1.217
0.55, 1.367, 1.33, 1.25, 1.263
0.575, 1.43, 1.392, 1.296, 1.312
0.6, 1.496, 1.446, 1.339, 1.364
0.625, 1.568, 1.512, 1.391, 1.424
0.65, 1.647, 1.57, 1.447, 1.492
0.675, 1.722, 1.629, 1.503, 1.566
0.7, 1.794, 1.689, 1.555, 1.643
0.725, 1.877, 1.752, 1.613, 1.728
0.75, 1.964, 1.82, 1.685, 1.829
0.775, 2.052, 1.892, 1.769, 1.968
0.8, 2.136, 1.963, 1.867, 2.11
0.82, 2.207, 2.027, 1.955, 2.253
0.84, 2.307, 2.104, 2.071, 2.423
0.86, 2.418, 2.185, 2.23, 2.664
0.88, 2.545, 2.283, 2.434, 2.925
0.9, 2.706, 2.378, 2.741, 3.298
0.91, 2.807, 2.443, 2.954, 3.494
0.92, 2.925, 2.515, 3.207, 3.719
0.93, 3.064, 2.602, 3.532, 4.01
0.94, 3.223, 2.718, 3.975, 4.314
0.95, 3.42, 2.887, 4.59, 4.703
0.96, 3.655, 3.057, 5.435, 5.121
0.97, 3.975, 3.365, 6.631, 5.69
