# nongraphitized carbon black (BP 280), Ar, 77 K, data, t
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 15.65 [cm3(STP)/g], S(BET) = 36.6 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 36.6/15.65 = slope[cm3(STP)/g] * 2.338658
# [pyGAPS] BET surface area: a = 37 m2/g, The BET constant is: C = 229, Amount for a monolayer: n = 0.00044 mol/g
#   Amount for a monolayer: n = 0.00044 / (1/1000/22.414) = 0.00044 / 4.461e-5 = 9.86325936 [cm3(STP)/g]
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
0.0802, 0.653, 10.21945, 0.348133926
0.0902, 0.665, 10.40725, 0.354531486
0.1, 0.676, 10.5794, 0.360395917
0.119, 0.695, 10.87675, 0.370525388
0.141, 0.716, 11.2054, 0.381721119
0.162, 0.736, 11.5184, 0.39238372
0.182, 0.755, 11.81575, 0.402513191
0.202, 0.774, 12.1131, 0.412642662
0.222, 0.794, 12.4261, 0.423305263
0.243, 0.814, 12.7391, 0.433967864
0.263, 0.835, 13.06775, 0.445163595
0.283, 0.857, 13.41205, 0.456892457
0.303, 0.879, 13.75635, 0.468621318
0.323, 0.903, 14.13195, 0.481416439
0.343, 0.927, 14.50755, 0.494211561
0.361, 0.949, 14.85185, 0.505940422
0.38, 0.974, 15.2431, 0.519268673
0.4, 1, 15.65, 0.533130054
0.42, 1.03, 16.1195, 0.549123956
0.44, 1.05, 16.4325, 0.559786557
0.46, 1.08, 16.902, 0.575780459
0.48, 1.11, 17.3715, 0.59177436
0.5, 1.13, 17.6845, 0.602436962
0.52, 1.16, 18.154, 0.618430863
0.54, 1.18, 18.467, 0.629093464
0.56, 1.21, 18.9365, 0.645087366
0.58, 1.24, 19.406, 0.661081268
0.6, 1.27, 19.8755, 0.677075169
0.62, 1.29, 20.1885, 0.68773777
0.64, 1.32, 20.658, 0.703731672
0.66, 1.35, 21.1275, 0.719725574
0.68, 1.38, 21.597, 0.735719475
0.7, 1.41, 22.0665, 0.751713377
0.72, 1.44, 22.536, 0.767707278
0.739, 1.48, 23.162, 0.789032481
0.76, 1.52, 23.788, 0.810357683
0.78, 1.55, 24.2575, 0.826351584
0.801, 1.6, 25.04, 0.853008087
0.82, 1.64, 25.666, 0.874333289
0.841, 1.69, 26.4485, 0.900989792
0.861, 1.74, 27.231, 0.927646295
0.882, 1.8, 28.17, 0.959634098
0.901, 1.86, 29.109, 0.991621901
0.921, 1.94, 30.361, 1.034272306
0.94, 2.01, 31.4565, 1.07159141
0.958, 2.1, 32.865, 1.119573114
0.972, 2.17, 33.9605, 1.156892218
0.981, 2.22, 34.743, 1.183548721
0.995, 2.27, 35.5255, 1.210205224
