# Carbopack F Graphitized Carbon Black, Ar, 87 K, data
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.108 [cm3(STP)/g], S(BET) = 6.01 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 6.01/3.108 = slope[cm3(STP)/g] * 1.933719
# [pyGAPS] BET surface area: a = 6 m2/g, The BET constant is: C = 859, Amount for a monolayer: n = 7e-05 mol/g
#   Amount for a monolayer: n = 7e-05 / (1/1000/22.414) = 7e-05 / 4.461e-5 = 1.569155 [cm3(STP)/g]
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
0.000128, 0.00917, 0.02850036, 0.006102725
0.000249, 0.0184, 0.0571872, 0.01224538
0.000354, 0.0274, 0.0851592, 0.018234968
0.00045, 0.0364, 0.1131312, 0.024224556
0.000538, 0.0456, 0.1417248, 0.030347246
0.00062, 0.0548, 0.1703184, 0.036469936
0.000695, 0.0641, 0.1992228, 0.042659177
0.000765, 0.0735, 0.228438, 0.048914969
0.00083, 0.0829, 0.2576532, 0.055170761
0.000891, 0.0924, 0.2871792, 0.061493104
0.000949, 0.102, 0.317016, 0.067881998
0.001, 0.111, 0.344988, 0.073871586
0.00106, 0.121, 0.376068, 0.080526683
0.00111, 0.131, 0.407148, 0.087181781
0.00116, 0.14, 0.43512, 0.093171369
0.0012, 0.15, 0.4662, 0.099826467
0.00125, 0.16, 0.49728, 0.106481565
0.0013, 0.169, 0.525252, 0.112471153
0.00134, 0.179, 0.556332, 0.119126251
0.00139, 0.188, 0.584304, 0.125115839
0.00143, 0.198, 0.615384, 0.131770937
0.00148, 0.208, 0.646464, 0.138426034
0.00152, 0.217, 0.674436, 0.144415622
0.00157, 0.227, 0.705516, 0.15107072
0.00162, 0.237, 0.736596, 0.157725818
0.00167, 0.246, 0.764568, 0.163715406
0.00172, 0.256, 0.795648, 0.170370504
0.00177, 0.265, 0.82362, 0.176360092
0.00183, 0.275, 0.8547, 0.18301519
0.00189, 0.284, 0.882672, 0.189004778
0.00196, 0.294, 0.913752, 0.195659876
0.00203, 0.303, 0.941724, 0.201649464
0.0021, 0.312, 0.969696, 0.207639052
0.00218, 0.322, 1.000776, 0.214294149
0.00227, 0.331, 1.028748, 0.220283737
0.00236, 0.34, 1.05672, 0.226273325
0.00247, 0.349, 1.084692, 0.232262913
0.00258, 0.358, 1.112664, 0.238252502
0.00271, 0.366, 1.137528, 0.24357658
0.00286, 0.375, 1.1655, 0.249566168
0.00302, 0.383, 1.190364, 0.254890246
0.00319, 0.391, 1.215228, 0.260214324
0.00339, 0.399, 1.240092, 0.265538403
0.00362, 0.406, 1.261848, 0.270196971
0.00386, 0.414, 1.286712, 0.275521049
0.00413, 0.42, 1.30536, 0.279514108
0.00444, 0.427, 1.327116, 0.284172676
0.00481, 0.434, 1.348872, 0.288831245
0.00523, 0.441, 1.370628, 0.293489813
0.00569, 0.447, 1.389276, 0.297482872
0.0062, 0.452, 1.404816, 0.300810421
0.00675, 0.458, 1.423464, 0.30480348
0.00755, 0.465, 1.44522, 0.309462048
0.00813, 0.469, 1.457652, 0.312124087
0.00875, 0.473, 1.470084, 0.314786126
0.0094, 0.477, 1.482516, 0.317448165
0.01, 0.48, 1.49184, 0.319444695
0.0113, 0.486, 1.510488, 0.323437753
0.0125, 0.491, 1.526028, 0.326765302
0.015, 0.498, 1.547784, 0.331423871
0.0175, 0.505, 1.56954, 0.336082439
0.0202, 0.511, 1.588188, 0.340075498
0.025, 0.518, 1.609944, 0.344734066
0.0301, 0.525, 1.6317, 0.349392635
0.0351, 0.531, 1.650348, 0.353385694
0.0401, 0.536, 1.665888, 0.356713242
0.0452, 0.541, 1.681428, 0.360040791
0.0501, 0.545, 1.69386, 0.362702831
0.0573, 0.551, 1.712508, 0.366695889
0.0695, 0.56, 1.74048, 0.372685477
0.0793, 0.567, 1.762236, 0.377344046
0.089, 0.573, 1.780884, 0.381337104
0.0987, 0.58, 1.80264, 0.385995673
0.117, 0.591, 1.836828, 0.39331628
0.137, 0.602, 1.871016, 0.400636888
0.156, 0.616, 1.914528, 0.409954025
0.176, 0.633, 1.967364, 0.421267691
0.195, 0.649, 2.017092, 0.431915848
0.215, 0.671, 2.085468, 0.446557063
0.235, 0.694, 2.156952, 0.461863788
0.256, 0.719, 2.234652, 0.478501532
0.276, 0.746, 2.318568, 0.496470296
0.297, 0.778, 2.418024, 0.517766609
0.317, 0.817, 2.539236, 0.543721491
0.337, 0.861, 2.675988, 0.573003921
0.36, 0.914, 2.840712, 0.60827594
0.381, 0.959, 2.980572, 0.63822388
0.4, 1, 3.108, 0.665509781
0.42, 1.04, 3.23232, 0.692130172
0.44, 1.07, 3.32556, 0.712095465
0.46, 1.1, 3.4188, 0.732060759
0.48, 1.13, 3.51204, 0.752026052
0.5, 1.15, 3.5742, 0.765336248
0.52, 1.18, 3.66744, 0.785301541
0.54, 1.21, 3.76068, 0.805266835
0.56, 1.23, 3.82284, 0.81857703
0.58, 1.26, 3.91608, 0.838542324
0.6, 1.3, 4.0404, 0.865162715
0.62, 1.34, 4.16472, 0.891783106
0.64, 1.38, 4.28904, 0.918403497
0.66, 1.44, 4.47552, 0.958334084
0.68, 1.5, 4.662, 0.998264671
0.7, 1.57, 4.87956, 1.044850356
0.72, 1.65, 5.1282, 1.098091138
0.74, 1.72, 5.34576, 1.144676823
0.76, 1.78, 5.53224, 1.18460741
0.78, 1.84, 5.71872, 1.224537997
0.8, 1.91, 5.93628, 1.271123681
0.819, 1.98, 6.15384, 1.317709366
0.84, 2.07, 6.43356, 1.377605246
0.86, 2.17, 6.74436, 1.444156224
0.879, 2.3, 7.1484, 1.530672496
0.899, 2.45, 7.6146, 1.630498963
0.919, 2.63, 8.17404, 1.750290723
0.94, 2.9, 9.0132, 1.929978364
0.954, 3.27, 10.16316, 2.176216983
0.964, 3.63, 11.28204, 2.415800504
0.975, 4.22, 13.11576, 2.808451275
0.984, 5.09, 15.81972, 3.387444784
0.988, 5.9, 18.3372, 3.926507706
