# Carbopack F Graphitized Carbon Black, Ar, 77 K, data
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.173 [cm3(STP)/g], S(BET) = 5.88 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.88/3.173 = slope[cm3(STP)/g] * 1.853136
# [pyGAPS] BET surface area: a = 6 m2/g, The BET constant is: C = 796, Amount for a monolayer: n = 8e-05 mol/g
#   Amount for a monolayer: n = 8e-05 / (1/1000/22.414) = 8e-05 / 4.461e-5 = 1.79332 [cm3(STP)/g]
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
0.0000585, 0.00608, 0.01929184, 0.003614557
0.000116, 0.0122, 0.0387106, 0.007252895
0.00017, 0.0184, 0.0583832, 0.010938792
0.000219, 0.0245, 0.0777385, 0.01456524
0.000263, 0.0307, 0.0974111, 0.018251137
0.000304, 0.0368, 0.1167664, 0.021877585
0.000341, 0.043, 0.136439, 0.025563482
0.000375, 0.0492, 0.1561116, 0.02924938
0.000423, 0.059, 0.187207, 0.035075476
0.000466, 0.0688, 0.2183024, 0.040901572
0.000504, 0.0787, 0.2497151, 0.046787118
0.000539, 0.0885, 0.2808105, 0.052613213
0.00057, 0.0984, 0.3122232, 0.058498759
0.000598, 0.108, 0.342684, 0.064205955
0.00063, 0.118, 0.374414, 0.070150951
0.000654, 0.128, 0.406144, 0.076095947
0.000677, 0.138, 0.437874, 0.082040943
0.000698, 0.148, 0.469604, 0.087985939
0.000719, 0.158, 0.501334, 0.093930935
0.000739, 0.168, 0.533064, 0.099875931
0.000758, 0.177, 0.561621, 0.105226427
0.000777, 0.187, 0.593351, 0.111171423
0.000796, 0.197, 0.625081, 0.117116419
0.000814, 0.207, 0.656811, 0.123061415
0.000833, 0.217, 0.688541, 0.12900641
0.000852, 0.227, 0.720271, 0.134951406
0.000872, 0.237, 0.752001, 0.140896402
0.000892, 0.247, 0.783731, 0.146841398
0.000912, 0.257, 0.815461, 0.152786394
0.000934, 0.267, 0.847191, 0.15873139
0.000956, 0.276, 0.875748, 0.164081886
0.000981, 0.286, 0.907478, 0.170026882
0.00101, 0.296, 0.939208, 0.175971878
0.00104, 0.306, 0.970938, 0.181916874
0.00107, 0.316, 1.002668, 0.18786187
0.0011, 0.326, 1.034398, 0.193806865
0.00114, 0.336, 1.066128, 0.199751861
0.00118, 0.345, 1.094685, 0.205102358
0.00123, 0.355, 1.126415, 0.211047354
0.00129, 0.365, 1.158145, 0.216992349
0.00135, 0.375, 1.189875, 0.222937345
0.00142, 0.384, 1.218432, 0.228287842
0.00151, 0.394, 1.250162, 0.234232837
0.00162, 0.404, 1.281892, 0.240177833
0.00175, 0.413, 1.310449, 0.24552833
0.00191, 0.423, 1.342179, 0.251473325
0.00211, 0.432, 1.370736, 0.256823822
0.00237, 0.441, 1.399293, 0.262174318
0.00269, 0.45, 1.42785, 0.267524814
0.00311, 0.459, 1.456407, 0.272875311
0.00365, 0.467, 1.481791, 0.277631307
0.00432, 0.475, 1.507175, 0.282387304
0.00516, 0.482, 1.529386, 0.286548801
0.00619, 0.489, 1.551597, 0.290710298
0.00757, 0.496, 1.573808, 0.294871795
0.00922, 0.503, 1.596019, 0.299033292
0.0111, 0.508, 1.611884, 0.30200579
0.0123, 0.511, 1.621403, 0.303789289
0.0126, 0.512, 1.624576, 0.304383789
0.0151, 0.517, 1.640441, 0.307356287
0.0178, 0.522, 1.656306, 0.310328785
0.0202, 0.526, 1.668998, 0.312706783
0.0215, 0.528, 1.675344, 0.313895782
0.0228, 0.53, 1.68169, 0.315084781
0.0241, 0.532, 1.688036, 0.31627378
0.0247, 0.533, 1.691209, 0.31686828
0.0254, 0.534, 1.694382, 0.31746278
0.0259, 0.535, 1.697555, 0.318057279
0.0276, 0.537, 1.703901, 0.319246278
0.0283, 0.538, 1.707074, 0.319840778
0.0301, 0.541, 1.716593, 0.321624277
0.0309, 0.542, 1.719766, 0.322218776
0.0328, 0.546, 1.732458, 0.324596775
0.0336, 0.547, 1.735631, 0.325191274
0.0354, 0.55, 1.74515, 0.326974773
0.0361, 0.551, 1.748323, 0.327569273
0.0377, 0.554, 1.757842, 0.329352771
0.0384, 0.556, 1.764188, 0.330541771
0.0403, 0.559, 1.773707, 0.332325269
0.0428, 0.563, 1.786399, 0.334703268
0.0454, 0.567, 1.799091, 0.337081266
0.0503, 0.572, 1.814956, 0.340053764
0.0601, 0.579, 1.837167, 0.344215261
0.0708, 0.585, 1.856205, 0.347782259
0.0809, 0.589, 1.868897, 0.350160257
0.091, 0.594, 1.884762, 0.353132755
0.101, 0.598, 1.897454, 0.355510753
0.111, 0.602, 1.910146, 0.357888752
0.121, 0.605, 1.919665, 0.35967225
0.131, 0.609, 1.932357, 0.362050249
0.141, 0.613, 1.945049, 0.364428247
0.151, 0.617, 1.957741, 0.366806245
0.161, 0.621, 1.970433, 0.369184244
0.171, 0.625, 1.983125, 0.371562242
0.181, 0.629, 1.995817, 0.37394024
0.191, 0.634, 2.011682, 0.376912738
0.201, 0.639, 2.027547, 0.379885236
0.211, 0.644, 2.043412, 0.382857734
0.221, 0.649, 2.059277, 0.385830232
0.231, 0.655, 2.078315, 0.38939723
0.241, 0.661, 2.097353, 0.392964227
0.251, 0.667, 2.116391, 0.396531225
0.26, 0.674, 2.138602, 0.400692722
0.27, 0.682, 2.163986, 0.405448719
0.28, 0.69, 2.18937, 0.410204715
0.289, 0.7, 2.2211, 0.416149711
0.299, 0.711, 2.256003, 0.422689207
0.308, 0.724, 2.297252, 0.430417701
0.318, 0.738, 2.341674, 0.438740695
0.327, 0.755, 2.395615, 0.448847188
0.336, 0.776, 2.462248, 0.46133168
0.349, 0.812, 2.576476, 0.482733665
0.36, 0.852, 2.703396, 0.506513648
0.371, 0.895, 2.839835, 0.532077131
0.381, 0.936, 2.969928, 0.556451614
0.39, 0.97, 3.07781, 0.5766646
0.4, 1, 3.173, 0.594499587
0.41, 1.03, 3.26819, 0.612334575
0.42, 1.05, 3.33165, 0.624224567
0.43, 1.07, 3.39511, 0.636114558
0.44, 1.09, 3.45857, 0.64800455
0.45, 1.1, 3.4903, 0.653949546
0.46, 1.12, 3.55376, 0.665839538
0.47, 1.13, 3.58549, 0.671784534
0.48, 1.14, 3.61722, 0.67772953
0.49, 1.15, 3.64895, 0.683674525
0.5, 1.17, 3.71241, 0.695564517
0.51, 1.18, 3.74414, 0.701509513
0.52, 1.19, 3.77587, 0.707454509
0.53, 1.2, 3.8076, 0.713399505
0.54, 1.21, 3.83933, 0.719344501
0.55, 1.22, 3.87106, 0.725289497
0.56, 1.24, 3.93452, 0.737179488
0.57, 1.25, 3.96625, 0.743124484
0.579, 1.26, 3.99798, 0.74906948
0.59, 1.28, 4.06144, 0.760959472
0.599, 1.3, 4.1249, 0.772849464
0.61, 1.32, 4.18836, 0.784739455
0.62, 1.34, 4.25182, 0.796629447
0.63, 1.36, 4.31528, 0.808519439
0.64, 1.39, 4.41047, 0.826354426
0.65, 1.42, 4.50566, 0.844189414
0.66, 1.44, 4.56912, 0.856079406
0.67, 1.47, 4.66431, 0.873914393
0.68, 1.5, 4.7595, 0.891749381
0.69, 1.53, 4.85469, 0.909584369
0.7, 1.55, 4.91815, 0.92147436
0.71, 1.58, 5.01334, 0.939309348
0.72, 1.6, 5.0768, 0.95119934
