# LMA10, N2, 77.4 K, data, t
# Standard data for the adsorption of N2 at 77.4 K on reference carbon LMA10.
# A. Silvestre-Albero et al., Carbon 66 (2014) 699. 
# (i.e., n/nm -where nm is the monolayer capacity from which the BET surface area is determined- against P/P0)
# nm = 9.15e-5 mol/g, V(alpha-s=1) = V(P/P0=0.4) = V04 = 3.26 cm3(STP)/g, S(BET) = 8.517 m2/g
# S [m2/g]= slope [cm3(STP)/g] * 8.517/3.26 = slope [cm3(STP)/g] * 2.61257
#   Amount for a monolayer: n = 9.15e-5 / (1/1000/22.414) = 9.15e-5 / 4.461e-5 = 1.65209594 [cm3(STP)/g]
# https://www.mdpi.com/2227-9717/8/11/1359/htm
# P/P0, alpha-s, n/nm, V[cm3(STP)/g], t[nm]
1.30E-06, 0.00918461, 0.01462327, 0.029941829, 0.006415734
4.02E-06, 0.02096128, 0.03337347, 0.068333773, 0.014642101
8.74E-06, 0.03088959, 0.0491808, 0.100700063, 0.021577332
1.34E-05, 0.04315592, 0.06871062, 0.140688299, 0.030145742
3.82E-05, 0.08388118, 0.13355127, 0.273452647, 0.058593593
5.83E-05, 0.10761464, 0.17133846, 0.350823726, 0.075172147
7.64E-05, 0.12360381, 0.19679559, 0.402948421, 0.086341076
0.00010165, 0.14096752, 0.22444119, 0.459554115, 0.098470163
0.00013011, 0.16046991, 0.25549187, 0.523131907, 0.112093184
0.00016088, 0.17405969, 0.27712882, 0.567434589, 0.121586065
0.0002093, 0.19835809, 0.31581548, 0.646647373, 0.138559247
0.00025827, 0.21267939, 0.33861711, 0.693334811, 0.148563117
0.00032757, 0.23636811, 0.37633307, 0.770560039, 0.165110419
0.00038983, 0.2471075, 0.39343177, 0.80557045, 0.172612215
0.00041969, 0.25706835, 0.40929092, 0.838042821, 0.179570176
0.00047441, 0.26538854, 0.42253789, 0.86516664, 0.185382085
0.0005881, 0.28489884, 0.45360118, 0.928770218, 0.199010632
0.00089208, 0.32133557, 0.51161386, 1.047553958, 0.224462812
0.00127859, 0.35011482, 0.55743469, 1.141374313, 0.244566007
0.00245529, 0.40139044, 0.63907307, 1.308532834, 0.28038361
0.00379197, 0.43514441, 0.69281439, 1.418570777, 0.3039618
0.00677127, 0.47635069, 0.75842091, 1.552903249, 0.332745658
0.01014755, 0.50179739, 0.79893583, 1.635859491, 0.350520963
0.01809089, 0.53403191, 0.85025794, 1.740944027, 0.37303777
0.02638693, 0.55652363, 0.8860681, 1.814267034, 0.388748931
0.03883066, 0.57188202, 0.91052094, 1.864335385, 0.39947724
0.05441194, 0.5914037, 0.94160235, 1.927976062, 0.413113736
0.06865321, 0.61128034, 0.97324889, 1.992773908, 0.426998182
0.08783181, 0.63560151, 1.01197181, 2.072060923, 0.44398727
0.099168, 0.65145719, 1.03721639, 2.123750439, 0.455062952
0.11622943, 0.66601101, 1.06038824, 2.171195893, 0.465229244
0.12911819, 0.68113881, 1.08447394, 2.220512521, 0.47579648
0.14211007, 0.69575784, 1.1077496, 2.268170558, 0.486008323
0.15766155, 0.71354445, 1.13606852, 2.326154907, 0.498432819
0.19042084, 0.75121635, 1.19604777, 2.448965301, 0.524747804
0.21945012, 0.78642485, 1.25210493, 2.563745011, 0.549342028
0.24375619, 0.8162713, 1.29962489, 2.661044438, 0.570190694
0.26720447, 0.84201869, 1.34061856, 2.744980929, 0.588176041
0.29165289, 0.87356135, 1.39083914, 2.847810001, 0.610209562
0.31593567, 0.89679786, 1.42783512, 2.923561024, 0.626440982
0.34534534, 0.94018109, 1.49690764, 3.064990353, 0.656745507
0.37557528, 0.9672096, 1.53994105, 3.153103296, 0.675625755
0.40940939, 1.00539659, 1.60074039, 3.277592883, 0.702300546
0.42880197, 1.02873765, 1.63790282, 3.353684739, 0.718604997
0.45698458, 1.07454085, 1.7108283, 3.503003171, 0.750599946
0.47001294, 1.09123742, 1.73741171, 3.557433989, 0.762263015
0.48621387, 1.10684324, 1.76225848, 3.608308962, 0.773164162
0.52639009, 1.16558016, 1.85577638, 3.799791322, 0.814193713
0.55476456, 1.21061587, 1.92747989, 3.946607736, 0.845652546
0.58205734, 1.24369899, 1.98015312, 4.054458707, 0.868762127
0.60923085, 1.28549489, 2.04669839, 4.190713341, 0.897957853
0.62834546, 1.32128938, 2.10368853, 4.307403379, 0.922961409
0.67717434, 1.41015186, 2.24517076, 4.597095064, 0.985034593
0.69837985, 1.45541343, 2.31723389, 4.744647782, 1.016651197
0.72877059, 1.54353942, 2.45754353, 5.031938509, 1.078209921
0.75276355, 1.57786659, 2.51219749, 5.143845083, 1.102188508
0.78791612, 1.68520743, 2.68309999, 5.493776222, 1.177169398
0.80927862, 1.78755492, 2.84605237, 5.827429039, 1.248662278
0.83778226, 1.87792526, 2.98993535, 6.122036348, 1.311788749
0.86283748, 1.99696892, 3.1794705, 6.510118679, 1.39494442
0.88532528, 2.16804193, 3.45184408, 7.067816692, 1.514444197
0.91238193, 2.42490047, 3.86080095, 7.905175532, 1.693867814
0.94129789, 2.79074283, 4.44327621, 9.097821626, 1.949419993
0.96123182, 3.43282524, 5.46556658, 11.19101028, 2.397934372
0.97483608, 3.93157703, 6.25965335, 12.81694112, 2.746327889
0.98625159, 4.92716958, 7.84478425, 16.06257283, 3.441780011
0.99112392, 6.24052467, 9.93584021, 20.34411042, 4.359199073
0.99458543, 6.87846453, 10.95153501, 22.42379437, 4.804819753
