# graphite (G25), Ar, 77 K, data, t
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=V(theta=1) = 3.16 [cm3/g], C-value = 352, S = 11.70 [m2/g]
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 5.60294 [cm3/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 11.70/5.60294 = slope[cm3(STP)/g] * 2.088189
# [pyGASP] BET surface area: a = 12 m2/g, The BET constant is: C = 98, Amount for a monolayer: n = 0.00015 mol/g
#   Amount for a monolayer: n = 0.00015 / (1/1000/22.414) = 0.00015 / 4.461e-5 = 3.36247478 [cm3(STP)/g]
# relative_pressure_X, V[cm3(STP)/g], theta, alpha-s, t[nm]
2.98E-04, 0.5361, 0.1697, 0.09568191, 0.0570192
8.94E-04, 1.1452, 0.3624, 0.204392694, 0.1217664
1.79E-03, 1.7237, 0.5455, 0.307642059, 0.183288
4.63E-03, 2.2388, 0.7085, 0.399575937, 0.238056
1.53E-02, 2.6341, 0.8336, 0.470128183, 0.2800896
2.49E-02, 2.7932, 0.8839, 0.498523989, 0.2969904
3.64E-02, 2.9302, 0.9273, 0.522975438, 0.3115728
4.78E-02, 3.0468, 0.9642, 0.543785941, 0.3239712
6.68E-02, 3.1992, 1.0124, 0.570985947, 0.3401664
8.44E-02, 3.3134, 1.0485, 0.591368103, 0.352296
0.1291, 3.5658, 1.1284, 0.636415882, 0.3791424
0.1711, 3.7902, 1.1994, 0.676466284, 0.4029984
0.2079, 3.9899, 1.2626, 0.712108286, 0.4242336
0.246, 4.2141, 1.3336, 0.752122993, 0.4480896
0.2776, 4.4141, 1.3969, 0.787818538, 0.4693584
0.3064, 4.629, 1.4649, 0.826173402, 0.4922064
0.3452, 5.0009, 1.5826, 0.892549269, 0.5317536
0.3699, 5.3021, 1.6779, 0.94630676, 0.5637744
0.4076, 5.6789, 1.7971, 1.013557168, 0.6038256
0.4532, 6.041, 1.9117, 1.078183953, 0.6423312
0.5023, 6.414, 2.0297, 1.144756146, 0.6819792
0.554, 6.8251, 2.1598, 1.21812834, 0.7256928
0.599, 7.2312, 2.2884, 1.290608145, 0.7689024
0.6551, 7.9057, 2.5018, 1.410991372, 0.8406048
0.7053, 8.5676, 2.7113, 1.52912578, 0.9109968
0.7529, 9.256, 2.9291, 1.651989848, 0.9841776
0.7963, 10.032, 3.1747, 1.790488565, 1.0666992
0.8253, 10.736, 3.3975, 1.916136885, 1.14156
0.8487, 11.531, 3.6491, 2.058026679, 1.2260976
0.9088, 14.603, 4.6212, 2.606310259, 1.5527232
0.9412, 18.041, 5.7092, 3.219916687, 1.9182912
0.9582, 20.98, 6.6392, 3.744462728, 2.2307712
