pressure_mode,relative
pressure_unit,None
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,cm3(STP)
temperature_unit,K
adsorbate,nitrogen
material,CarbonBlack
temperature,77.355
model_from,BET
material_batch,Test
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,True
adsorbent_basis,mass
adsorbent_unit,g
file_version,3.0
data:[pressure,loading,branch,(otherdata)]
pressure,loading,branch
0.08308308,7.33268853,ads
0.08408408,7.34057641,ads
0.08508509,7.34847984,ads
0.08608609,7.35639892,ads
0.08708709,7.36433375,ads
0.08808809,7.37228443,ads
0.08908909,7.38025103,ads
0.09009009,7.38823365,ads
0.09109109,7.39623238,ads
0.09209209,7.40424731,ads
0.09309309,7.41227852,ads
0.0940941,7.4203261,ads
0.0950951,7.42839012,ads
0.0960961,7.43647068,ads
0.0970971,7.44456786,ads
0.0980981,7.45268173,ads
0.0990991,7.46081238,ads
0.1001001,7.46895988,ads
0.1011011,7.47712433,ads
0.1021021,7.48530578,ads
0.1031031,7.49350433,ads
0.1041041,7.50172005,ads
0.10510511,7.50995302,ads
0.10610611,7.51820332,ads
0.10710711,7.52647101,ads
0.10810811,7.53475618,ads
0.10910911,7.5430589,ads
0.11011011,7.55137925,ads
0.11111111,7.5597173,ads
0.11211211,7.56807312,ads
0.11311311,7.5764468,ads
0.11411412,7.5848384,ads
0.11511512,7.59324799,ads
0.11611612,7.60167566,ads
0.11711712,7.61012148,ads
0.11811812,7.61858552,ads
0.11911912,7.62706785,ads
0.12012012,7.63556854,ads
0.12112112,7.64408767,ads
0.12212212,7.65262532,ads
0.12312312,7.66118155,ads
0.12412412,7.66975644,ads
0.12512513,7.67835005,ads
0.12612613,7.68696248,ads
0.12712713,7.69559378,ads
0.12812813,7.70424403,ads
0.12912913,7.7129133,ads
0.13013013,7.72160167,ads
0.13113113,7.73030921,ads
0.13213213,7.73903599,ads
0.13313313,7.74778209,ads
0.13413414,7.75654758,ads
0.13513514,7.76533253,ads
0.13613614,7.77413702,ads
0.13713714,7.78296111,ads
0.13813814,7.79180489,ads
0.13913914,7.80066843,ads
0.14014014,7.8095518,ads
0.14114114,7.81845507,ads
0.14214214,7.82737833,ads
0.14314314,7.83632164,ads
0.14414414,7.84528508,ads
0.14514515,7.85426872,ads
0.14614615,7.86327265,ads
0.14714715,7.87229693,ads
0.14814815,7.88134163,ads
0.14914915,7.89040685,ads
0.15015015,7.89949264,ads
0.15115115,7.9085991,ads
0.15215215,7.91772629,ads
0.15315315,7.92687429,ads
0.15415416,7.93604317,ads
0.15515516,7.94523302,ads
0.15615616,7.95444391,ads
0.15715716,7.96367592,ads
0.15815816,7.97292913,ads
0.15915916,7.98220361,ads
0.16016016,7.99149944,ads
0.16116116,8.00081671,ads
0.16216216,8.01015548,ads
0.16316316,8.01951585,ads
0.16416416,8.02889788,ads
0.16516517,8.03830166,ads
0.16616617,8.04772726,ads
0.16716717,8.05717478,ads
0.16816817,8.06664428,ads
0.16916917,8.07613585,ads
0.17017017,8.08564958,ads
0.17117117,8.09518553,ads
0.17217217,8.1047438,ads
0.17317317,8.11432446,ads
0.17417418,8.1239276,ads
0.17517518,8.1335533,ads
0.17617618,8.14320164,ads
0.17717718,8.15287271,ads
0.17817818,8.16256659,ads
0.17917918,8.17228336,ads
0.18018018,8.18202311,ads
0.18118118,8.19178592,ads
0.18218218,8.20157188,ads
0.18318318,8.21138108,ads
0.18418418,8.22121359,ads
0.18518519,8.23106951,ads
0.18618619,8.24094892,ads
0.18718719,8.2508519,ads
0.18818819,8.26077856,ads
0.18918919,8.27072896,ads
0.19019019,8.28070321,ads
0.19119119,8.29070138,ads
0.19219219,8.30072357,ads
0.19319319,8.31076987,ads
0.1941942,8.32084037,ads
0.1951952,8.33093515,ads
0.1961962,8.34105431,ads
0.1971972,8.35119793,ads
0.1981982,8.36136611,ads
0.1991992,8.37155894,ads
0.2002002,8.38177652,ads
0.2012012,8.39201892,ads
0.2022022,8.40228625,ads
0.2032032,8.41257861,ads
0.2042042,8.42289607,ads
0.20520521,8.43323874,ads
0.20620621,8.44360672,ads
0.20720721,8.45400009,ads
0.20820821,8.46441895,ads
0.20920921,8.4748634,ads
0.21021021,8.48533353,ads
0.21121121,8.49582944,ads
0.21221221,8.50635123,ads
0.21321321,8.51689899,ads
0.21421422,8.52747282,ads
0.21521522,8.53807283,ads
0.21621622,8.54869911,ads
0.21721722,8.55935175,ads
0.21821822,8.57003087,ads
0.21921922,8.58073655,ads
0.22022022,8.5914689,ads
0.22122122,8.60222803,ads
0.22222222,8.61301403,ads
0.22322322,8.623827,ads
0.22422423,8.63466705,ads
0.22522523,8.64553429,ads
0.22622623,8.65642881,ads
0.22722723,8.66735071,ads
0.22822823,8.67830012,ads
0.22922923,8.68927712,ads
0.23023023,8.70028183,ads
0.23123123,8.71131435,ads
0.23223223,8.72237479,ads
0.23323323,8.73346325,ads
0.23423424,8.74457985,ads
0.23523524,8.75572469,ads
0.23623624,8.76689788,ads
0.23723724,8.77809953,ads
0.23823824,8.78932975,ads
0.23923924,8.80058866,ads
0.24024024,8.81187635,ads
0.24124124,8.82319295,ads
0.24224224,8.83453857,ads
0.24324324,8.84591332,ads
0.24424425,8.8573173,ads
0.24524525,8.86875065,ads
0.24624625,8.88021347,ads
0.24724725,8.89170587,ads
0.24824825,8.90322797,ads
0.24924925,8.91477989,ads
0.25025025,8.92636175,ads
0.25125125,8.93797366,ads
0.25225225,8.94961574,ads
0.25325325,8.96128811,ads
0.25425426,8.97299089,ads
0.25525526,8.9847242,ads
0.25625626,8.99648816,ads
0.25725726,9.00828288,ads
0.25825826,9.0201085,ads
0.25925926,9.03196513,ads
0.26026026,9.0438529,ads
0.26126126,9.05577194,ads
0.26226226,9.06772235,ads
0.26326326,9.07970428,ads
0.26426427,9.09171784,ads
0.26526527,9.10376317,ads
0.26626627,9.11584038,ads
0.26726727,9.12794962,ads
0.26826827,9.14009099,ads
0.26926927,9.15226464,ads
0.27027027,9.1644707,ads
0.27127127,9.17670928,ads
0.27227227,9.18898054,ads
0.27327327,9.20128459,ads
0.27427428,9.21362156,ads
0.27527528,9.2259916,ads
0.27627628,9.23839484,ads
0.27727728,9.25083141,ads
0.27827828,9.26330144,ads
0.27927928,9.27580507,ads
0.28028028,9.28834244,ads
0.28128128,9.30091369,ads
0.28228228,9.31351895,ads
0.28328328,9.32615836,ads
0.28428429,9.33883207,ads
0.28528529,9.35154021,ads
0.28628629,9.36428292,ads
0.28728729,9.37706035,ads
0.28828829,9.38987263,ads
0.28928929,9.40271992,ads
0.29029029,9.41560235,ads
0.29129129,9.42852008,ads
0.29229229,9.44147324,ads
0.29329329,9.45446198,ads
0.2942943,9.46748646,ads
0.2952953,9.48054681,ads
0.2962963,9.49364319,ads
0.2972973,9.50677575,ads
0.2982983,9.51994464,ads
0.2992993,9.53315001,ads
0.3003003,9.54639201,ads
0.3013013,9.5596708,ads
0.3023023,9.57298653,ads
0.3033033,9.58633935,ads
0.30430431,9.59972942,ads
0.30530531,9.6131569,ads
0.30630631,9.62662194,ads
0.30730731,9.64012471,ads
0.30830831,9.65366535,ads
0.30930931,9.66724404,ads
0.31031031,9.68086093,ads
0.31131131,9.69451619,ads
0.31231231,9.70820998,ads
0.31331331,9.72194245,ads
0.31431432,9.73571378,ads
0.31531532,9.74952414,ads
0.31631632,9.76337368,ads
0.31731732,9.77726258,ads
0.31831832,9.791191,ads
0.31931932,9.80515912,ads
0.32032032,9.8191671,ads
0.32132132,9.83321512,ads
0.32232232,9.84730334,ads
0.32332332,9.86143195,ads
0.32432433,9.87560111,ads
0.32532533,9.889811,ads
0.32632633,9.9040618,ads
0.32732733,9.91835368,ads
0.32832833,9.93268683,ads
0.32932933,9.94706142,ads
0.33033033,9.96147763,ads
0.33133133,9.97593564,ads
0.33233233,9.99043564,ads
0.33333333,10.00497781,ads
0.33433434,10.01956234,ads
0.33533534,10.0341894,ads
0.33633634,10.04885919,ads
0.33733734,10.0635719,ads
0.33833834,10.07832771,ads
0.33933934,10.09312681,ads
0.34034034,10.1079694,ads
0.34134134,10.12285567,ads
0.34234234,10.1377858,ads
0.34334334,10.15276001,ads
0.34434435,10.16777847,ads
0.34534535,10.18284139,ads
0.34634635,10.19794897,ads
0.34734735,10.2131014,ads
0.34834835,10.22829889,ads
0.34934935,10.24354163,ads
0.35035035,10.25882984,ads
0.35135135,10.27416371,ads
0.35235235,10.28954344,ads
0.35335335,10.30496926,ads
0.35435436,10.32044136,ads
0.35535536,10.33595995,ads
0.35635636,10.35152524,ads
0.35735736,10.36713744,ads
0.35835836,10.38279678,ads
0.35935936,10.39850345,ads
0.36036036,10.41425768,ads
0.36136136,10.43005968,ads
0.36236236,10.44590968,ads
0.36336336,10.46180788,ads
0.36436436,10.47775451,ads
0.36536537,10.4937498,ads
0.36636637,10.50979396,ads
0.36736737,10.52588722,ads
0.36836837,10.54202981,ads
0.36936937,10.55822195,ads
0.37037037,10.57446387,ads
0.37137137,10.59075581,ads
0.37237237,10.60709799,ads
0.37337337,10.62349065,ads
0.37437438,10.63993402,ads
0.37537538,10.65642834,ads
0.37637638,10.67297384,ads
0.37737738,10.68957077,ads
0.37837838,10.70621936,ads
0.37937938,10.72291986,ads
0.38038038,10.73967251,ads
0.38138138,10.75647756,ads
0.38238238,10.77333524,ads
0.38338338,10.79024582,ads
0.38438439,10.80720953,ads
0.38538539,10.82422664,ads
0.38638639,10.84129738,ads
0.38738739,10.85842203,ads
0.38838839,10.87560082,ads
0.38938939,10.89283403,ads
0.39039039,10.9101219,ads
0.39139139,10.92746471,ads
0.39239239,10.94486271,ads
0.39339339,10.96231617,ads
0.3943944,10.97982535,ads
0.3953954,10.99739052,ads
0.3963964,11.01501194,ads
0.3973974,11.0326899,ads
0.3983984,11.05042467,ads
0.3993994,11.06821651,ads
0.4004004,11.0860657,ads
0.4014014,11.10397253,ads
0.4024024,11.12193726,ads
0.4034034,11.13996019,ads
0.40440441,11.1580416,ads
0.40540541,11.17618177,ads
0.40640641,11.19438099,ads
0.40740741,11.21263955,ads
0.40840841,11.23095773,ads
0.40940941,11.24933584,ads
0.41041041,11.26777417,ads
0.41141141,11.286273,ads
0.41241241,11.30483265,ads
0.41341341,11.32345341,ads
0.41441442,11.34213559,ads
0.41541542,11.36087949,ads
0.41641642,11.37968541,ads
0.41741742,11.39855367,ads
0.41841842,11.41748457,ads
0.41941942,11.43647843,ads
0.42042042,11.45553556,ads
0.42142142,11.47465628,ads
0.42242242,11.49384091,ads
0.42342342,11.51308977,ads
0.42442443,11.53240319,ads
0.42542543,11.55178148,ads
0.42642643,11.57122498,ads
0.42742743,11.59073402,ads
0.42842843,11.61030892,ads
0.42942943,11.62995002,ads
0.43043043,11.64965767,ads
0.43143143,11.66943219,ads
0.43243243,11.68927393,ads
0.43343343,11.70918324,ads
0.43443444,11.72916045,ads
0.43543544,11.74920592,ads
0.43643644,11.76932,ads
0.43743744,11.78950304,ads
0.43843844,11.80975539,ads
0.43943944,11.83007742,ads
0.44044044,11.85046948,ads
0.44144144,11.87093194,ads
0.44244244,11.89146516,ads
0.44344344,11.91206952,ads
0.44444445,11.93274537,ads
0.44544545,11.95349309,ads
0.44644645,11.97431307,ads
0.44744745,11.99520567,ads
0.44844845,12.01617128,ads
0.44944945,12.03721028,ads
0.45045045,12.05832306,ads
0.45145145,12.07951001,ads
0.45245245,12.10077152,ads
0.45345345,12.12210797,ads
0.45445446,12.14351978,ads
0.45545546,12.16500734,ads
0.45645646,12.18657105,ads
0.45745746,12.20821133,ads
0.45845846,12.22992856,ads
0.45945946,12.25172318,ads
0.46046046,12.27359559,ads
0.46146146,12.29554621,ads
0.46246246,12.31757547,ads
0.46346346,12.33968377,ads
0.46446447,12.36187156,ads
0.46546547,12.38413926,ads
0.46646647,12.4064873,ads
0.46746747,12.42891613,ads
0.46846847,12.45142616,ads
0.46946947,12.47401786,ads
0.47047047,12.49669167,ads
0.47147147,12.51944803,ads
0.47247247,12.54228739,ads
0.47347347,12.56521022,ads
0.47447448,12.58821696,ads
0.47547548,12.61130809,ads
0.47647648,12.63448406,ads
0.47747748,12.65774535,ads
0.47847848,12.68109242,ads
0.47947948,12.70452576,ads
0.48048048,12.72804584,ads
0.48148148,12.75165315,ads
0.48248248,12.77534816,ads
0.48348348,12.79913138,ads
0.48448449,12.82300329,ads
0.48548549,12.84696439,ads
0.48648649,12.87101518,ads
0.48748749,12.89515617,ads
0.48848849,12.91938787,ads
0.48948949,12.94371079,ads
0.49049049,12.96812543,ads
0.49149149,12.99263234,ads
0.49249249,13.01723202,ads
0.49349349,13.04192501,ads
0.4944945,13.06671183,ads
0.4954955,13.09159303,ads
0.4964965,13.11656915,ads
0.4974975,13.14164072,ads
0.4984985,13.1668083,ads
0.4994995,13.19207244,ads
0.5005005,13.21743369,ads
0.5015015,13.24289263,ads
0.5025025,13.26844981,ads
0.5035035,13.2941058,ads
0.5045045,13.31986118,ads
0.50550551,13.34571652,ads
0.50650651,13.37167242,ads
0.50750751,13.39772945,ads
0.50850851,13.42388821,ads
0.50950951,13.4501493,ads
0.51051051,13.47651332,ads
0.51151151,13.50298087,ads
0.51251251,13.52955257,ads
0.51351351,13.55622903,ads
0.51451452,13.58301088,ads
0.51551552,13.60989873,ads
0.51651652,13.63689323,ads
0.51751752,13.663995,ads
0.51851852,13.69120468,ads
0.51951952,13.71852293,ads
0.52052052,13.74595039,ads
0.52152152,13.77348773,ads
0.52252252,13.80113559,ads
0.52352352,13.82889465,ads
0.52452452,13.85676559,ads
0.52552553,13.88474907,ads
0.52652653,13.91284578,ads
0.52752753,13.94105642,ads
0.52852853,13.96938167,ads
0.52952953,13.99782223,ads
0.53053053,14.02637882,ads
0.53153153,14.05505214,ads
0.53253253,14.08384291,ads
0.53353353,14.11275185,ads
0.53453454,14.14177969,ads
0.53553554,14.17092718,ads
0.53653654,14.20019504,ads
0.53753754,14.22958402,ads
0.53853854,14.25909489,ads
0.53953954,14.28872839,ads
0.54054054,14.3184853,ads
0.54154154,14.34836639,ads
0.54254254,14.37837244,ads
0.54354354,14.40850423,ads
0.54454455,14.43876255,ads
0.54554555,14.46914821,ads
0.54654655,14.49966201,ads
0.54754755,14.53030476,ads
0.54854855,14.56107728,ads
0.54954955,14.5919804,ads
0.55055055,14.62301495,ads
0.55155155,14.65418177,ads
0.55255255,14.68548171,ads
0.55355355,14.71691562,ads
0.55455456,14.74848437,ads
